"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",914
"95",1829
"96",2743
"97",3658
"98",4572
"99",5486
"100",6401
"101",7315
"102",8230
"103",9144
"104",10058
"105",10973
"106",11887
"107",12802
"108",13716
"109",14630
"110",15545
"111",16459
"112",17374
"113",18288
"114",19203
"115",20117
"116",21031
"117",21946
"118",22860
"119",23775
"120",24689
"121",25603
"122",26518
"123",27432
"124",28347
"125",29261
"126",30175
"127",31090
"128",32004
"129",32919
"130",33833
"131",34747
"132",35662
"133",36576
"134",37491
"135",38405
"136",39319
"137",40234
"138",41148
"139",42063
"140",42977
"141",43891
"142",44806
"143",45720
"144",46635
"145",47549
"146",48463
"147",49378
"148",50292
"149",51207
"150",52121
"151",53036
"152",53950
"153",54864
"154",55779
"155",56693
"156",57608
"157",58522
"158",59436
"159",60351
"160",61265
"161",62180
"162",63094
"163",64008
"164",64923
"165",65837
"166",66752
"167",67666
"168",68580
"169",69495
"170",70409
"171",71324
"172",72238
"173",73152
"174",74067
"175",74981
"176",75896
"177",76810
"178",77724
"179",78639
"180",79553
"181",80468
"182",81382
"183",82297
"184",83211
"185",84125
"186",84739
"187",85354
"188",85968
"189",86582
"190",87196
"191",87810
"192",88424
"193",89039
"194",89653
"195",90267
"196",90881
"197",91495
"198",92109
"199",92724
"200",93338
"201",93952
"202",94566
"203",95180
"204",95794
"205",96409
"206",97023
"207",97637
"208",98251
"209",98865
"210",99479
"211",100094
"212",100708
"213",101322
"214",101936
"215",102550
"216",103164
"217",103708
"218",104251
"219",104794
"220",105337
"221",105881
"222",106424
"223",106967
"224",107510
"225",108054
"226",108597
"227",109140
"228",109684
"229",110227
"230",110770
"231",111313
"232",111857
"233",112400
"234",112943
"235",113486
"236",114030
"237",114573
"238",115116
"239",115659
"240",116203
"241",116746
"242",117289
"243",117833
"244",118376
"245",118112
"246",117848
"247",117585
"248",117321
"249",117057
"250",116794
"251",116530
"252",116266
"253",116002
"254",115739
"255",115475
"256",115211
"257",114948
"258",114684
"259",114420
"260",114157
"261",113893
"262",113629
"263",113365
"264",113102
"265",112838
"266",112574
"267",112311
"268",112047
"269",111783
"270",111520
"271",111256
"272",110992
"273",110728
"274",110465
"275",110201
"276",109768
"277",109335
"278",108902
"279",108468
"280",108035
"281",107602
"282",107169
"283",106736
"284",106303
"285",105870
"286",105436
"287",105003
"288",104570
"289",104137
"290",103704
"291",103271
"292",102838
"293",102404
"294",101971
"295",101538
"296",101105
"297",100672
"298",100239
"299",99806
"300",99372
"301",98939
"302",98506
"303",98073
"304",97640
"305",97207
"306",97232
"307",97257
"308",97281
"309",97306
"310",97331
"311",97356
"312",97381
"313",97406
"314",97431
"315",97456
"316",97481
"317",97506
"318",97531
"319",97555
"320",97580
"321",97605
"322",97630
"323",97655
"324",97680
"325",97705
"326",97730
"327",97755
"328",97780
"329",97805
"330",97830
"331",97854
"332",97879
"333",97904
"334",97929
"335",97954
