"","V1","V2","V3"
"R0_chain_M",1.33834094861185,1.17831267125104,1.53472728884939
"R0_chain_A",1.45872005154771,1.35412767333487,1.56659196937518
"R0_chain_O",1.19614318063068,1.11440065064703,1.26097962212516
"R0_chain_Al",2.17855878815147,1.96006747514432,2.41955739421258
"beta_chain_A",0.942642603642705,0.78660211484721,1.27021898319414
"beta_chain_M",0.859461017422258,0.730907960099515,1.04626846280802
"beta_chain_O",0.772251050329797,0.660858174482176,1.00863718584152
"beta_chain_Al",1.40578072544944,1.16085332313483,1.8914252606489
"rho_chain",0.250774116578552,0.125251204621952,0.460113103369883
"omega1_chain",0.297381046824661,0.181138408848052,0.401108655564139
"omega2_chain",0.416463431434663,0.178971348686779,0.576465977513281
"k_chain",0.404592032315634,0.193012563802037,0.813356190374723
"I0_chain_M",619.846607424762,72.1129971746408,2137.89435518042
"I0_chain_A",3.28144944670193,0.179401285435291,11.7593737207536
"I0_chain_O",1015.38314532303,210.354736059027,2304.82600125952
"I0_chain_Al",1210.41395043442,274.611131656122,2350.22192914086
