"","mean","lower","upper"
"beta_M",0.318682183297565,0.306317021295962,0.331980022506987
"beta_A",0.332831147993133,0.312400080069288,0.351442149621751
"beta_O",0.30082379066146,0.285116917538155,0.314467425102283
"beta_Al",0.466207859795797,0.438158969691575,0.495372520618164
"rho_v",0.658862807575538,0.187073334542449,0.976829958202368
"rho_i",0.870713329992784,0.590851000602197,0.995190843835387
"omega_v1",0.345905471095598,0.311808388980126,0.379816934350652
"omega_v2",0.46487159577979,0.405762728056486,0.524335953605089
"omega_i1",0.331456725399301,0.29442396753499,0.369207844805866
"omega_i2",0.447906342556641,0.390905690643916,0.505212750184189
"I0_i_M",161.878898321145,58.7963476390818,317.29324295559
"I0_i_A",4.45219652099014,0.256745870052883,22.2126495636255
"I0_i_O",150.468781404888,26.8855313223591,369.789216981834
"I0_i_Al",316.276790107304,126.837711743807,563.941574664108
"I0_v_M",615.357163024223,408.260863461929,857.549775243664
"I0_v_A",6.63275836058895,0.877042511968333,21.9593578996074
"I0_v_O",58.4424096509456,8.13950571898337,174.290304141342
"I0_v_Al",53.5197100978576,16.7263206673291,124.018851012894
"k",0.0435870064032917,0.00692239948032373,0.100972629402641
