"","mean","lower","upper"
"beta_M",0.304960921386166,0.294214015803907,0.31655391970267
"beta_A",0.330014652328445,0.304436951080789,0.352567716158346
"beta_O",0.289213875378926,0.267614142788993,0.305444252064251
"beta_Al",0.476069704968917,0.447741038318308,0.507094763771734
"rho_v",0.733836876361841,0.303387635644801,0.973560663214157
"rho_i",0.900006152433871,0.717529070915585,0.995144986334255
"omega_v1",0.388931546302307,0.27794531791191,0.429179361675963
"omega_v2",0.461855963736392,0.274509811308158,0.538996743962507
"omega_i1",0.37799188255546,0.3442658729975,0.414595981196535
"omega_i2",0.5026659345036,0.44999399525492,0.555928845092672
"I0_i_M",210.133789516619,60.482119404361,425.57630011196
"I0_i_A",1.49538161421632,0.0647071504569138,7.19425127954438
"I0_i_O",162.428523998912,28.4054496568862,401.135221831591
"I0_i_Al",265.611204490151,95.3494021141789,509.597677488637
"I0_v_M",660.169959317046,439.650803520269,929.349133272142
"I0_v_A",1.93265286400058,0.123421191648505,8.81181084482633
"I0_v_O",39.9064821680627,2.55705746507299,142.80563068435
"I0_v_Al",83.8172920411482,27.2369905644645,191.780271100614
"k",0.0498578242387104,0.0104872123877798,0.107720801981011
