"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",914
"156",1829
"157",2743
"158",3658
"159",4572
"160",5486
"161",6401
"162",7315
"163",8230
"164",9144
"165",10058
"166",10973
"167",11887
"168",12802
"169",13716
"170",14630
"171",15545
"172",16459
"173",17374
"174",18288
"175",19203
"176",20117
"177",21031
"178",21946
"179",22860
"180",23775
"181",24689
"182",25603
"183",26518
"184",27432
"185",28347
"186",29261
"187",30175
"188",31090
"189",32004
"190",32919
"191",33833
"192",34747
"193",35662
"194",36576
"195",37491
"196",38405
"197",39319
"198",40234
"199",41148
"200",42063
"201",42977
"202",43891
"203",44806
"204",45720
"205",46635
"206",47549
"207",48463
"208",49378
"209",50292
"210",51207
"211",52121
"212",53036
"213",53950
"214",54864
"215",55779
"216",56693
"217",57608
"218",58522
"219",59436
"220",60351
"221",61265
"222",62180
"223",63094
"224",64008
"225",64923
"226",65837
"227",66752
"228",67666
"229",68580
"230",69495
"231",70409
"232",71324
"233",72238
"234",73152
"235",74067
"236",74981
"237",75896
"238",76810
"239",77724
"240",78639
"241",79553
"242",80468
"243",81382
"244",82297
"245",83211
"246",84125
"247",84739
"248",85354
"249",85968
"250",86582
"251",87196
"252",87810
"253",88424
"254",89039
"255",89653
"256",90267
"257",90881
"258",91495
"259",92109
"260",92724
"261",93338
"262",93952
"263",94566
"264",95180
"265",95794
"266",96409
"267",97023
"268",97637
"269",98251
"270",98865
"271",99479
"272",100094
"273",100708
"274",101322
"275",101936
"276",102550
"277",103164
"278",103708
"279",104251
"280",104794
"281",105337
"282",105881
"283",106424
"284",106967
"285",107510
"286",108054
"287",108597
"288",109140
"289",109684
"290",110227
"291",110770
"292",111313
"293",111857
"294",112400
"295",112943
"296",113486
"297",114030
"298",114573
"299",115116
"300",115659
"301",116203
"302",116746
"303",117289
"304",117833
"305",118376
"306",118112
"307",117848
"308",117585
"309",117321
"310",117057
"311",116794
"312",116530
"313",116266
"314",116002
"315",115739
"316",115475
"317",115211
"318",114948
"319",114684
"320",114420
"321",114157
"322",113893
"323",113629
"324",113365
"325",113102
"326",112838
"327",112574
"328",112311
"329",112047
"330",111783
"331",111520
"332",111256
"333",110992
"334",110728
"335",110465
"336",110201
"337",109768
"338",109335
"339",108902
"340",108468
"341",108035
"342",107602
"343",107169
"344",106736
"345",106303
"346",105870
"347",105436
"348",105003
"349",104570
"350",104137
"351",103704
"352",103271
"353",102838
"354",102404
"355",101971
"356",101538
"357",101105
"358",100672
"359",100239
"360",99806
"361",99372
"362",98939
"363",98506
"364",98073
"365",97640
"366",97207
"367",97232
"368",97257
"369",97281
"370",97306
"371",97331
"372",97356
"373",97381
"374",97406
"375",97431
"376",97456
"377",97481
"378",97506
"379",97531
"380",97555
"381",97580
"382",97605
"383",97630
"384",97655
"385",97680
"386",97705
"387",97730
"388",97755
"389",97780
"390",97805
"391",97830
"392",97854
"393",97879
"394",97904
"395",97929
"396",97954
