"","x"
"1",13
"2",1
"3",32
"4",62
"5",93
"6",124
"7",154
"8",185
"9",215
"10",246
"11",277
"12",305
"13",336
"14",366
"15",397
"16",46026
"17",39037
"18",42687
"19",62798
"20",103058
"21",158935
"22",162737
"23",129392
"24",128340
"25",145365
"26",153718
"27",134133
"28",109281
"29",0
"30",0
"31",0
"32",0
"33",0
"34",13716
"35",41605
"36",69495
"37",93338
"38",110498
"39",114420
"40",103920
"41",97580
"42",53021564
"43",1388976
"44",396
"45",191
"46",319
"47",185
"48",93
