"","mean","lower","upper","parameters","CrI","out"
"1",1.29,1.25,1.34,"R0_M","(1.25-1.34)","1.29 (1.25-1.34)"
"2",1.36,1.31,1.41,"R0_A","(1.31-1.41)","1.36 (1.31-1.41)"
"3",1.22,1.19,1.26,"R0_O","(1.19-1.26)","1.22 (1.19-1.26)"
"4",1.98,1.9,2.07,"R0_Al","(1.9-2.07)","1.98 (1.9-2.07)"
"beta_M",0.32,0.31,0.33,"beta_M","(0.31-0.33)","0.32 (0.31-0.33)"
"beta_A",0.34,0.31,0.36,"beta_A","(0.31-0.36)","0.34 (0.31-0.36)"
"beta_O",0.3,0.28,0.32,"beta_O","(0.28-0.32)","0.3 (0.28-0.32)"
"beta_Al",0.49,0.46,0.52,"beta_Al","(0.46-0.52)","0.49 (0.46-0.52)"
"rho_v",81.45,45.72,99.23,"rho_v","(45.72-99.23)","81.45% (45.72-99.23)"
"omega_i1",34.75,32.26,37.31,"omega_i1","(32.26-37.31)","34.75% (32.26-37.31)"
"omega_i2",49.08,45.03,53.32,"omega_i2","(45.03-53.32)","49.08% (45.03-53.32)"
"I0_i_M",114.41,54.01,188.64,"I0_i_M","(54.01-188.64)","114.41 (54.01-188.64)"
"I0_i_A",1.3,0.14,5.26,"I0_i_A","(0.14-5.26)","1.3 (0.14-5.26)"
"I0_i_O",74.05,16.36,170.27,"I0_i_O","(16.36-170.27)","74.05 (16.36-170.27)"
"I0_i_Al",122.6,52.43,220.11,"I0_i_Al","(52.43-220.11)","122.6 (52.43-220.11)"
"I0_v_M",21.54,10.92,33.82,"I0_v_M","(10.92-33.82)","21.54 (10.92-33.82)"
"I0_v_A",0.2,0.02,0.83,"I0_v_A","(0.02-0.83)","0.2 (0.02-0.83)"
"I0_v_O",6.95,1.39,16.34,"I0_v_O","(1.39-16.34)","6.95 (1.39-16.34)"
"I0_v_Al",17.77,8.31,29.8,"I0_v_Al","(8.31-29.8)","17.77 (8.31-29.8)"
"k",0.04,0.01,0.1,"k","(0.01-0.1)","0.04 (0.01-0.1)"
