"","mean","lower","upper","parameters","CrI","out"
"1",1.38,1.34,1.43,"R0_M","(1.34-1.43)","1.38 (1.34-1.43)"
"2",1.45,1.39,1.51,"R0_A","(1.39-1.51)","1.45 (1.39-1.51)"
"3",1.26,1.23,1.31,"R0_O","(1.23-1.31)","1.26 (1.23-1.31)"
"4",2.26,2.16,2.37,"R0_Al","(2.16-2.37)","2.26 (2.16-2.37)"
"beta_M",0.28,0.28,0.29,"beta_M","(0.28-0.29)","0.28 (0.28-0.29)"
"beta_A",0.3,0.29,0.31,"beta_A","(0.29-0.31)","0.3 (0.29-0.31)"
"beta_O",0.26,0.25,0.27,"beta_O","(0.25-0.27)","0.26 (0.25-0.27)"
"beta_Al",0.47,0.45,0.49,"beta_Al","(0.45-0.49)","0.47 (0.45-0.49)"
"rho_v",92.65,72.84,99.82,"rho_v","(72.84-99.82)","92.65% (72.84-99.82)"
"omega_i1",36.56,33.68,39.16,"omega_i1","(33.68-39.16)","36.56% (33.68-39.16)"
"omega_i2",51.77,47.29,56.01,"omega_i2","(47.29-56.01)","51.77% (47.29-56.01)"
"I0_i_M",105.41,54.63,167.04,"I0_i_M","(54.63-167.04)","105.41 (54.63-167.04)"
"I0_i_A",0.59,0.06,2.42,"I0_i_A","(0.06-2.42)","0.59 (0.06-2.42)"
"I0_i_O",88.27,21.26,193.9,"I0_i_O","(21.26-193.9)","88.27 (21.26-193.9)"
"I0_i_Al",88.34,31.44,180.4,"I0_i_Al","(31.44-180.4)","88.34 (31.44-180.4)"
"I0_v_M",24.68,13.5,37.19,"I0_v_M","(13.5-37.19)","24.68 (13.5-37.19)"
"I0_v_A",0.07,0.01,0.27,"I0_v_A","(0.01-0.27)","0.07 (0.01-0.27)"
"I0_v_O",6.29,1.44,14.89,"I0_v_O","(1.44-14.89)","6.29 (1.44-14.89)"
"I0_v_Al",21.86,11.31,34.84,"I0_v_Al","(11.31-34.84)","21.86 (11.31-34.84)"
"k",0.05,0.01,0.12,"k","(0.01-0.12)","0.05 (0.01-0.12)"
