"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.3,"beta_A","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_O",0.3,0.3,0.3,"beta_O","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_Al",0.5,0.4,0.5,"beta_Al","(0.4-0.5)","0.5","0.5 (0.4-0.5)"
"rho_v",93.5,76.9,99.8,"rho_v","(76.9-99.8)","93.5%","93.5% (76.9-99.8)"
"omega_i1",36.6,33.7,39.2,"omega_i1","(33.7-39.2)","36.6%","36.6% (33.7-39.2)"
"omega_i2",51.8,47.3,56,"omega_i2","(47.3-56)","51.8%","51.8% (47.3-56)"
"I0_i_M",104,55.1,168.3,"I0_i_M","(55.1-168.3)","104","104 (55.1-168.3)"
"I0_i_A",0.7,0.1,3.2,"I0_i_A","(0.1-3.2)","0.7","0.7 (0.1-3.2)"
"I0_i_O",89.1,22,193.8,"I0_i_O","(22-193.8)","89.1","89.1 (22-193.8)"
"I0_i_Al",87.9,30.7,178.4,"I0_i_Al","(30.7-178.4)","87.9","87.9 (30.7-178.4)"
"I0_v_M",24.4,13,37.2,"I0_v_M","(13-37.2)","24.4","24.4 (13-37.2)"
"I0_v_A",0.1,0,0.3,"I0_v_A","(0-0.3)","0.1","0.1 (0-0.3)"
"I0_v_O",6.2,1.4,14,"I0_v_O","(1.4-14)","6.2","6.2 (1.4-14)"
"I0_v_Al",21.9,11.1,35.3,"I0_v_Al","(11.1-35.3)","21.9","21.9 (11.1-35.3)"
"k",0,0,0.1,"k","(0-0.1)","0","0 (0-0.1)"
