"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.4,"beta_A","(0.3-0.4)","0.3","0.3 (0.3-0.4)"
"beta_O",0.3,0.3,0.3,"beta_O","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_Al",0.5,0.5,0.5,"beta_Al","(0.5-0.5)","0.5","0.5 (0.5-0.5)"
"rho_v",81.4,45.7,99.2,"rho_v","(45.7-99.2)","81.4%","81.4% (45.7-99.2)"
"omega_i1",34.8,32.3,37.3,"omega_i1","(32.3-37.3)","34.8%","34.8% (32.3-37.3)"
"omega_i2",49.1,45,53.3,"omega_i2","(45-53.3)","49.1%","49.1% (45-53.3)"
"I0_i_M",114.4,54,188.6,"I0_i_M","(54-188.6)","114.4","114.4 (54-188.6)"
"I0_i_A",1.3,0.1,5.3,"I0_i_A","(0.1-5.3)","1.3","1.3 (0.1-5.3)"
"I0_i_O",74,16.4,170.3,"I0_i_O","(16.4-170.3)","74","74 (16.4-170.3)"
"I0_i_Al",122.6,52.4,220.1,"I0_i_Al","(52.4-220.1)","122.6","122.6 (52.4-220.1)"
"I0_v_M",21.5,10.9,33.8,"I0_v_M","(10.9-33.8)","21.5","21.5 (10.9-33.8)"
"I0_v_A",0.2,0,0.8,"I0_v_A","(0-0.8)","0.2","0.2 (0-0.8)"
"I0_v_O",7,1.4,16.3,"I0_v_O","(1.4-16.3)","7","7 (1.4-16.3)"
"I0_v_Al",17.8,8.3,29.8,"I0_v_Al","(8.3-29.8)","17.8","17.8 (8.3-29.8)"
"k",0,0,0.1,"k","(0-0.1)","0","0 (0-0.1)"
