"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.4,"beta_A","(0.3-0.4)","0.3","0.3 (0.3-0.4)"
"beta_O",0.3,0.3,0.3,"beta_O","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_Al",0.5,0.5,0.5,"beta_Al","(0.5-0.5)","0.5","0.5 (0.5-0.5)"
"rho_v",76.4,58.3,93.9,"rho_v","(58.3-93.9)","76.4%","76.4% (58.3-93.9)"
"omega_i1",39,36.1,41.8,"omega_i1","(36.1-41.8)","39%","39% (36.1-41.8)"
"omega_i2",53.3,49.3,57.3,"omega_i2","(49.3-57.3)","53.3%","53.3% (49.3-57.3)"
"I0_i_M",153,72.3,259.8,"I0_i_M","(72.3-259.8)","153","153 (72.3-259.8)"
"I0_i_A",0.4,0,1.6,"I0_i_A","(0-1.6)","0.4","0.4 (0-1.6)"
"I0_i_O",78.4,18.5,183.7,"I0_i_O","(18.5-183.7)","78.4","78.4 (18.5-183.7)"
"I0_i_Al",91.3,33.8,178.1,"I0_i_Al","(33.8-178.1)","91.3","91.3 (33.8-178.1)"
"I0_v_M",21.2,11.4,33.6,"I0_v_M","(11.4-33.6)","21.2","21.2 (11.4-33.6)"
"I0_v_A",0,0,0.2,"I0_v_A","(0-0.2)","0","0 (0-0.2)"
"I0_v_O",6.4,1.4,15.1,"I0_v_O","(1.4-15.1)","6.4","6.4 (1.4-15.1)"
"I0_v_Al",20.8,10.2,34.6,"I0_v_Al","(10.2-34.6)","20.8","20.8 (10.2-34.6)"
"k",0,0,0.1,"k","(0-0.1)","0","0 (0-0.1)"
