"",".8","1","1.2","1.4","1.6"
"M_fit_M",2649.59204953377,5068.85454058551,12333.8487612347,35077.5549634988,87005.3681701759
"A_fit_M",50355.2784215023,49472.392128086,46911.4080329499,42163.6059988804,36955.8094292212
"O_fit_M",29738.496140951,29571.6496441059,29151.005337651,28244.6616150934,26915.187976528
"Al_fit_M",80481.0066794756,75495.4491527991,55230.9665261904,26790.8199769504,10897.2134838773
"T_M_fit_M",8167.50001718311,21803.955722623,87005.3743219883,312348.090598397,769350.688215847
"T_A_fit_M",119734.408257179,116955.679808856,108630.88729978,93815.1740389267,78851.1639471407
"T_O_fit_M",58439.1181411674,57975.7364186405,56758.6818177044,54165.4458731013,50550.3688020027
"T_Al_fit_M",209851.321854378,195080.572264905,131928.343994287,55574.0377933267,20854.7428591275
"total_M",396192.348269907,391815.944215024,384323.28743376,515902.748303752,919606.963824118
"total_rep_M",163224.373291463,159608.345465577,143627.228658026,132276.642554423,161773.579059802
"M_R0_M",449.947237283045,562.431367599625,674.905213450397,787.367602718053,899.832075285221
"A_R0_M",579.286989199424,579.285880054594,579.281762074144,579.275178176845,579.270315635687
"O_R0_M",520.575818512475,520.574846202846,520.571243929836,520.56539430491,520.561042136925
"Al_R0_M",862.708295004729,862.706603338043,862.700310145792,862.690300424961,862.682964502684
"pPCR_M",140.964246786563,140.967145165034,140.978980402197,140.99410443072,141.002327089686
"M_fit_L",994.784477613357,1753.9278434708,2781.73860604594,4531.32524514052,8199.15952173725
"A_fit_L",5750.01311756754,5744.56393364848,5736.6081469692,5724.09073539654,5702.81362585383
"O_fit_L",8388.38602627389,8385.33207008249,8381.03345883919,8374.44081461557,8363.78230233606
"Al_fit_L",2042.93526326089,2032.50920282111,2016.27703498859,1792.22892407002,1460.29818354881
"T_M_fit_L",2354.09241799482,3735.90724232262,6550.66164233624,12061.8670885056,31371.2233020392
"T_A_fit_L",7645.85013378789,7637.50426237986,7625.28026332349,7605.97403666219,7573.00298821302
"T_O_fit_L",10507.5224702687,10502.9206328044,10496.4249562448,10486.4254352873,10470.1809061425
"T_Al_fit_L",3086.50987309255,3070.57335723687,3045.73692215774,3003.44118230235,2561.62029893126
"total_L",28129.094532694,29814.2201441066,32882.7310835628,38669.4392874219,57842.1720982567
"total_rep_L",21391.9370411055,22069.8825493878,23217.2954545972,25558.1774425829,29998.8750371037
"M_R0_L",407.216310258926,509.013191852217,610.784968743742,712.552869226667,814.334441849845
"A_R0_L",503.858704149454,503.8562488512,503.847482758337,503.839828699293,503.836058276388
"O_R0_L",441.190210947905,441.187003188604,441.17307030878,441.155477060071,441.147885797871
"Al_R0_L",738.00873372968,738.007531365085,738.002559988544,737.986228716614,737.975122006011
"pPCR_L",140.746405121926,140.76753400041,140.869258738024,140.952761099404,140.977647599875
"M_fit_U",5062.12494627119,11192.4303552945,43438.4904079591,131574.409522241,235587.834160113
"A_fit_U",184861.981326889,177443.936840472,156082.324348321,137450.232648515,113271.625039903
"O_fit_U",83575.3044257576,82614.7135781921,80143.0033083223,74902.8752514209,67862.4116091894
"Al_fit_U",306896.759699204,277981.828446656,161812.32041969,66821.8886675566,25274.3669804031
"T_M_fit_U",23408.8122966621,93555.5206791183,522429.87782074,1630826.49327538,2542516.55525384
"T_A_fit_U",605378.57167412,583118.560766015,518372.432614488,393839.406616746,284082.831577724
"T_O_fit_U",211014.135542899,208997.981031498,204841.467771481,196868.111661813,179518.956156516
"T_Al_fit_U",1068586.22571709,981475.594140902,469839.847886358,147094.398615711,47764.2667641985
"total_U",1907447.17269913,1847622.80264606,1642142.74650062,2313321.24751505,3049400.25180554
"total_rep_U",560503.820321411,529827.647792287,435245.871059269,340912.834572412,385781.974222514
"M_R0_U",520.818534649448,651.023101179898,781.2275526441,911.431656564995,1041.63454996352
"A_R0_U",684.413770091446,684.413643913044,684.413430526275,684.41304775586,684.41236644928
"O_R0_U",645.880514576801,645.880466867787,645.880384851299,645.880229709552,645.879891784269
"Al_R0_U",1039.4158839354,1039.41587885403,1039.4158704218,1039.41585516245,1039.4158226153
"pPCR_U",141.014632320912,141.014635208316,141.014639660878,141.014647124496,141.014661151355
