"","mean","lower","upper","parameters","CrI","out"
"1",1.31,1.25,1.37,"R0_M","(1.25-1.37)","1.31 (1.25-1.37)"
"2",1.43,1.37,1.49,"R0_A","(1.37-1.49)","1.43 (1.37-1.49)"
"3",1.24,1.2,1.29,"R0_O","(1.2-1.29)","1.24 (1.2-1.29)"
"4",2.18,2.08,2.29,"R0_Al","(2.08-2.29)","2.18 (2.08-2.29)"
"beta_M",0.3,0.29,0.31,"beta_M","(0.29-0.31)","0.3 (0.29-0.31)"
"beta_A",0.33,0.3,0.35,"beta_A","(0.3-0.35)","0.33 (0.3-0.35)"
"beta_O",0.28,0.27,0.3,"beta_O","(0.27-0.3)","0.28 (0.27-0.3)"
"beta_Al",0.5,0.47,0.53,"beta_Al","(0.47-0.53)","0.5 (0.47-0.53)"
"rho_v",44.42,6.42,87.05,"rho_v","(6.42-87.05)","44.42% (6.42-87.05)"
"omega_i1",39.04,36.2,41.79,"omega_i1","(36.2-41.79)","39.04% (36.2-41.79)"
"omega_i2",53.04,49.1,57.06,"omega_i2","(49.1-57.06)","53.04% (49.1-57.06)"
"I0_i_M",154.49,79.25,255.62,"I0_i_M","(79.25-255.62)","154.49 (79.25-255.62)"
"I0_i_A",0.37,0.03,1.56,"I0_i_A","(0.03-1.56)","0.37 (0.03-1.56)"
"I0_i_O",77.07,15.28,177.23,"I0_i_O","(15.28-177.23)","77.07 (15.28-177.23)"
"I0_i_Al",90.49,32.02,178.88,"I0_i_Al","(32.02-178.88)","90.49 (32.02-178.88)"
"I0_v_M",21.04,10.59,33.34,"I0_v_M","(10.59-33.34)","21.04 (10.59-33.34)"
"I0_v_A",0.05,0,0.2,"I0_v_A","(0-0.2)","0.05 (0-0.2)"
"I0_v_O",6.3,1.21,15.25,"I0_v_O","(1.21-15.25)","6.3 (1.21-15.25)"
"I0_v_Al",20.56,9.84,34.18,"I0_v_Al","(9.84-34.18)","20.56 (9.84-34.18)"
"k",0.05,0.01,0.11,"k","(0.01-0.11)","0.05 (0.01-0.11)"
