"","mean","lower","upper","parameters","CrI","out"
"1",1.29,1.25,1.34,"R0_M","(1.25-1.34)","1.29 (1.25-1.34)"
"2",1.36,1.31,1.41,"R0_A","(1.31-1.41)","1.36 (1.31-1.41)"
"3",1.22,1.19,1.26,"R0_O","(1.19-1.26)","1.22 (1.19-1.26)"
"4",1.97,1.89,2.07,"R0_Al","(1.89-2.07)","1.97 (1.89-2.07)"
"beta_M",0.32,0.31,0.33,"beta_M","(0.31-0.33)","0.32 (0.31-0.33)"
"beta_A",0.34,0.31,0.36,"beta_A","(0.31-0.36)","0.34 (0.31-0.36)"
"beta_O",0.3,0.28,0.32,"beta_O","(0.28-0.32)","0.3 (0.28-0.32)"
"beta_Al",0.49,0.46,0.52,"beta_Al","(0.46-0.52)","0.49 (0.46-0.52)"
"rho_v",80.25,42.84,99.47,"rho_v","(42.84-99.47)","80.25% (42.84-99.47)"
"omega_i1",34.67,32.26,37.24,"omega_i1","(32.26-37.24)","34.67% (32.26-37.24)"
"omega_i2",48.96,44.93,53.1,"omega_i2","(44.93-53.1)","48.96% (44.93-53.1)"
"I0_i_M",114.37,57.1,186.66,"I0_i_M","(57.1-186.66)","114.37 (57.1-186.66)"
"I0_i_A",1.31,0.14,4.88,"I0_i_A","(0.14-4.88)","1.31 (0.14-4.88)"
"I0_i_O",75.46,17.57,169.06,"I0_i_O","(17.57-169.06)","75.46 (17.57-169.06)"
"I0_i_Al",126.11,54.33,225.83,"I0_i_Al","(54.33-225.83)","126.11 (54.33-225.83)"
"I0_v_M",21.67,11.05,34.68,"I0_v_M","(11.05-34.68)","21.67 (11.05-34.68)"
"I0_v_A",0.2,0.02,0.73,"I0_v_A","(0.02-0.73)","0.2 (0.02-0.73)"
"I0_v_O",7.05,1.47,16.47,"I0_v_O","(1.47-16.47)","7.05 (1.47-16.47)"
"I0_v_Al",18.09,8.58,29.53,"I0_v_Al","(8.58-29.53)","18.09 (8.58-29.53)"
"k",0.04,0,0.1,"k","(0-0.1)","0.04 (0-0.1)"
