"","mean","lower","upper","parameters","CrI","out"
"1",1.31,1.26,1.38,"R0_M","(1.26-1.38)","1.31 (1.26-1.38)"
"2",1.43,1.38,1.5,"R0_A","(1.38-1.5)","1.43 (1.38-1.5)"
"3",1.24,1.2,1.28,"R0_O","(1.2-1.28)","1.24 (1.2-1.28)"
"4",2.18,2.08,2.3,"R0_Al","(2.08-2.3)","2.18 (2.08-2.3)"
"beta_M",0.3,0.28,0.31,"beta_M","(0.28-0.31)","0.3 (0.28-0.31)"
"beta_A",0.33,0.3,0.35,"beta_A","(0.3-0.35)","0.33 (0.3-0.35)"
"beta_O",0.28,0.26,0.3,"beta_O","(0.26-0.3)","0.28 (0.26-0.3)"
"beta_Al",0.49,0.46,0.53,"beta_Al","(0.46-0.53)","0.49 (0.46-0.53)"
"rho_v",76.44,58.31,93.94,"rho_v","(58.31-93.94)","76.44% (58.31-93.94)"
"omega_i1",39.03,36.08,41.75,"omega_i1","(36.08-41.75)","39.03% (36.08-41.75)"
"omega_i2",53.27,49.26,57.3,"omega_i2","(49.26-57.3)","53.27% (49.26-57.3)"
"I0_i_M",152.95,72.34,259.84,"I0_i_M","(72.34-259.84)","152.95 (72.34-259.84)"
"I0_i_A",0.36,0.03,1.63,"I0_i_A","(0.03-1.63)","0.36 (0.03-1.63)"
"I0_i_O",78.44,18.52,183.75,"I0_i_O","(18.52-183.75)","78.44 (18.52-183.75)"
"I0_i_Al",91.32,33.77,178.11,"I0_i_Al","(33.77-178.11)","91.32 (33.77-178.11)"
"I0_v_M",21.24,11.36,33.59,"I0_v_M","(11.36-33.59)","21.24 (11.36-33.59)"
"I0_v_A",0.05,0,0.21,"I0_v_A","(0-0.21)","0.05 (0-0.21)"
"I0_v_O",6.35,1.41,15.14,"I0_v_O","(1.41-15.14)","6.35 (1.41-15.14)"
"I0_v_Al",20.84,10.16,34.6,"I0_v_Al","(10.16-34.6)","20.84 (10.16-34.6)"
"k",0.05,0.01,0.11,"k","(0.01-0.11)","0.05 (0.01-0.11)"
