"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"1",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-08-01,NA,NA,NA,31.9810246694118,15.684840192938,53.1894448315005,58.6318785605882,37.4234583984995,74.928063037062,NA,NA,NA
"33",2020-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2020-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2020-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2020-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2020-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2020-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2020-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2020-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2020-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2020-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2020-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2020-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2020-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2020-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2020-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2020-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2020-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2020-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2020-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2020-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2020-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2020-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2020-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2020-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2020-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2020-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2020-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2020-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2020-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2020-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2020-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2020-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2020-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2020-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2020-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2020-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2020-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2020-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2020-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2020-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2020-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2020-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2020-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
