"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",66
"34",131
"35",197
"36",262
"37",328
"38",393
"39",459
"40",524
"41",590
"42",655
"43",721
"44",786
"45",852
"46",917
"47",983
"48",1048
"49",1114
"50",1179
"51",1245
"52",1310
"53",1376
"54",1441
"55",1507
"56",1573
"57",1638
"58",1704
"59",1769
"60",1835
"61",1900
"62",1966
"63",2031
"64",2260
"65",2488
"66",2717
"67",2945
"68",3174
"69",3402
"70",3631
"71",3860
"72",4088
"73",4317
"74",4545
"75",4774
"76",5002
"77",5231
"78",5459
"79",5688
"80",5916
"81",6145
"82",6373
"83",6602
"84",6831
"85",7059
"86",7288
"87",7516
"88",7745
"89",7973
"90",8202
"91",8430
"92",8659
"93",8887
"94",9376
"95",9864
"96",10353
"97",10841
"98",11330
"99",11818
"100",12306
"101",12795
"102",13283
"103",13772
"104",14260
"105",14748
"106",15237
"107",15725
"108",16214
"109",16702
"110",17191
"111",17679
"112",18167
"113",18656
"114",19144
"115",19633
"116",20121
"117",20610
"118",21098
"119",21586
"120",22075
"121",22563
"122",23052
"123",23540
"124",24029
"125",24229
"126",24429
"127",24630
"128",24830
"129",25030
"130",25231
"131",25431
"132",25631
"133",25832
"134",26032
"135",26232
"136",26433
"137",26633
"138",26833
"139",27034
"140",27234
"141",27434
"142",27635
"143",27835
"144",28035
"145",28236
"146",28436
"147",28636
"148",28837
"149",29037
"150",29237
"151",29438
"152",29638
"153",29838
"154",30039
"155",29803
"156",29566
"157",29330
"158",29094
"159",28858
"160",28622
"161",28386
"162",28150
"163",27914
"164",27678
"165",27441
"166",27205
"167",26969
"168",26733
"169",26497
"170",26261
"171",26025
"172",25789
"173",25552
"174",25316
"175",25080
"176",24844
"177",24608
"178",24372
"179",24136
"180",23900
"181",23663
"182",23427
"183",23191
"184",22955
"185",22719
"186",22659
"187",22599
"188",22540
"189",22480
"190",22420
"191",22360
"192",22300
"193",22240
"194",22181
"195",22121
"196",22061
"197",22001
"198",21941
"199",21882
"200",21822
"201",21762
"202",21702
"203",21642
"204",21583
"205",21523
"206",21463
"207",21403
"208",21343
"209",21283
"210",21224
"211",21164
"212",21104
"213",21044
"214",20984
"215",20925
"216",20865
"217",20867
"218",20870
"219",20873
"220",20875
"221",20878
"222",20881
"223",20883
"224",20886
"225",20889
"226",20891
"227",20894
"228",20897
"229",20899
"230",20902
"231",20905
"232",20907
"233",20910
"234",20913
"235",20915
"236",20918
"237",20921
"238",20923
"239",20926
"240",20929
"241",20931
"242",20934
"243",20937
"244",20939
"245",20797
"246",20654
"247",20512
"248",20369
"249",20227
"250",20084
"251",19942
"252",19799
"253",19657
"254",19514
"255",19372
"256",19229
"257",19087
"258",18945
"259",18802
"260",18660
"261",18517
"262",18375
"263",18232
"264",18090
"265",17947
"266",17805
"267",17662
"268",17520
"269",17377
"270",17235
"271",17092
"272",16950
"273",16807
"274",16665
"275",16522
"276",16477
"277",16431
"278",16385
"279",16340
"280",16294
"281",16248
"282",16203
"283",16157
"284",16111
"285",16066
"286",16020
"287",15974
"288",15929
"289",15883
"290",15837
"291",15792
"292",15746
"293",15700
"294",15655
"295",15609
"296",15563
"297",15518
"298",15472
"299",15426
"300",15381
"301",15335
"302",15289
"303",15244
"304",15198
"305",15153
"306",15246
"307",15340
"308",15434
"309",15528
"310",15622
"311",15716
"312",15809
"313",15903
"314",15997
"315",16091
"316",16185
"317",16279
"318",16373
"319",16466
"320",16560
"321",16654
"322",16748
"323",16842
"324",16936
"325",17030
"326",17123
"327",17217
"328",17311
"329",17405
"330",17499
"331",17593
"332",17687
"333",17780
"334",17874
"335",17968
