"","x"
"1",8740
"2",8797
"3",8854
"4",8911
"5",8969
"6",9026
"7",9083
"8",9140
"9",9197
"10",9254
"11",9311
"12",9368
"13",9425
"14",9482
"15",9539
"16",9596
"17",9653
"18",9710
"19",9767
"20",9824
"21",9881
"22",9938
"23",9996
"24",10053
"25",10110
"26",10167
"27",10224
"28",10281
"29",10338
"30",10395
"31",10452
"32",10509
"33",10547
"34",10584
"35",10621
"36",10659
"37",10696
"38",10734
"39",10771
"40",10809
"41",10846
"42",10884
"43",10921
"44",10959
"45",10996
"46",11034
"47",11071
"48",11109
"49",11146
"50",11184
"51",11221
"52",11259
"53",11296
"54",11334
"55",11371
"56",11409
"57",11446
"58",11484
"59",11521
"60",11559
"61",11596
"62",11634
"63",11671
"64",11738
"65",11805
"66",11872
"67",11939
"68",12006
"69",12074
"70",12141
"71",12208
"72",12275
"73",12342
"74",12409
"75",12476
"76",12543
"77",12610
"78",12677
"79",12744
"80",12811
"81",12879
"82",12946
"83",13013
"84",13080
"85",13147
"86",13214
"87",13281
"88",13348
"89",13415
"90",13482
"91",13549
"92",13616
"93",13683
"94",13740
"95",13796
"96",13853
"97",13909
"98",13965
"99",14022
"100",14078
"101",14134
"102",14191
"103",14247
"104",14304
"105",14360
"106",14416
"107",14473
"108",14529
"109",14585
"110",14642
"111",14698
"112",14754
"113",14811
"114",14867
"115",14924
"116",14980
"117",15036
"118",15093
"119",15149
"120",15205
"121",15262
"122",15318
"123",15374
"124",15431
"125",15464
"126",15498
"127",15531
"128",15565
"129",15599
"130",15632
"131",15666
"132",15699
"133",15733
"134",15766
"135",15800
"136",15833
"137",15867
"138",15900
"139",15934
"140",15967
"141",16001
"142",16035
"143",16068
"144",16102
"145",16135
"146",16169
"147",16202
"148",16236
"149",16269
"150",16303
"151",16336
"152",16370
"153",16403
"154",16437
"155",16416
"156",16395
"157",16373
"158",16352
"159",16331
"160",16310
"161",16288
"162",16267
"163",16246
"164",16225
"165",16204
"166",16182
"167",16161
"168",16140
"169",16119
"170",16097
"171",16076
"172",16055
"173",16034
"174",16013
"175",15991
"176",15970
"177",15949
"178",15928
"179",15906
"180",15885
"181",15864
"182",15843
"183",15822
"184",15800
"185",15779
"186",15610
"187",15440
"188",15271
"189",15101
"190",14932
"191",14762
"192",14593
"193",14423
"194",14254
"195",14084
"196",13915
"197",13746
"198",13576
"199",13407
"200",13237
"201",13068
"202",12898
"203",12729
"204",12559
"205",12390
"206",12220
"207",12051
"208",11881
"209",11712
"210",11543
"211",11373
"212",11204
"213",11034
"214",10865
"215",10695
"216",10526
"217",10729
"218",10932
"219",11135
"220",11338
"221",11542
"222",11745
"223",11948
"224",12151
"225",12354
"226",12557
"227",12761
"228",12964
"229",13167
"230",13370
"231",13573
"232",13776
"233",13980
"234",14183
"235",14386
"236",14589
"237",14792
"238",14995
"239",15199
"240",15402
"241",15605
"242",15808
"243",16011
"244",16214
"245",16178
"246",16142
"247",16106
"248",16070
"249",16034
"250",15998
"251",15962
"252",15926
"253",15889
"254",15853
"255",15817
"256",15781
"257",15745
"258",15709
"259",15673
"260",15637
"261",15601
"262",15565
"263",15529
"264",15492
"265",15456
"266",15420
"267",15384
"268",15348
"269",15312
"270",15276
"271",15240
"272",15204
"273",15168
"274",15131
"275",15095
"276",15013
"277",14931
"278",14849
"279",14767
"280",14685
"281",14603
"282",14521
"283",14439
"284",14357
"285",14275
"286",14192
"287",14110
"288",14028
"289",13946
"290",13864
"291",13782
"292",13700
"293",13618
"294",13536
"295",13454
"296",13372
"297",13290
"298",13208
"299",13125
"300",13043
"301",12961
"302",12879
"303",12797
"304",12715
"305",12633
"306",12479
"307",12325
"308",12170
"309",12016
"310",11862
"311",11708
"312",11554
"313",11399
"314",11245
"315",11091
"316",10937
"317",10783
"318",10628
"319",10474
"320",10320
"321",10166
"322",10012
"323",9858
"324",9703
"325",9549
"326",9395
"327",9241
"328",9087
"329",8932
"330",8778
"331",8624
"332",8470
"333",8316
"334",8161
"335",8007
