"","x"
"1",37163
"2",37531
"3",37900
"4",38268
"5",38636
"6",39004
"7",39373
"8",39741
"9",40109
"10",40478
"11",40846
"12",41214
"13",41582
"14",41951
"15",42319
"16",42687
"17",43055
"18",43424
"19",43792
"20",44160
"21",44529
"22",44897
"23",45265
"24",45633
"25",46002
"26",46370
"27",46738
"28",47106
"29",47475
"30",47843
"31",48211
"32",48580
"33",49527
"34",50475
"35",51423
"36",52371
"37",53319
"38",54267
"39",55215
"40",56163
"41",57111
"42",58059
"43",59006
"44",59954
"45",60902
"46",61850
"47",62798
"48",63746
"49",64694
"50",65642
"51",66590
"52",67538
"53",68485
"54",69433
"55",70381
"56",71329
"57",72277
"58",73225
"59",74173
"60",75121
"61",76069
"62",77017
"63",77964
"64",79695
"65",81426
"66",83156
"67",84887
"68",86617
"69",88348
"70",90079
"71",91809
"72",93540
"73",95270
"74",97001
"75",98732
"76",100462
"77",102193
"78",103923
"79",105654
"80",107385
"81",109115
"82",110846
"83",112576
"84",114307
"85",116038
"86",117768
"87",119499
"88",121229
"89",122960
"90",124691
"91",126421
"92",128152
"93",129882
"94",131819
"95",133756
"96",135693
"97",137630
"98",139566
"99",141503
"100",143440
"101",145377
"102",147314
"103",149251
"104",151187
"105",153124
"106",155061
"107",156998
"108",158935
"109",160871
"110",162808
"111",164745
"112",166682
"113",168619
"114",170556
"115",172492
"116",174429
"117",176366
"118",178303
"119",180240
"120",182176
"121",184113
"122",186050
"123",187987
"124",189924
"125",188049
"126",186174
"127",184299
"128",182424
"129",180549
"130",178674
"131",176799
"132",174924
"133",173049
"134",171175
"135",169300
"136",167425
"137",165550
"138",163675
"139",161800
"140",159925
"141",158050
"142",156175
"143",154300
"144",152425
"145",150550
"146",148675
"147",146801
"148",144926
"149",143051
"150",141176
"151",139301
"152",137426
"153",135551
"154",133676
"155",133390
"156",133105
"157",132819
"158",132534
"159",132248
"160",131962
"161",131677
"162",131391
"163",131105
"164",130820
"165",130534
"166",130248
"167",129963
"168",129677
"169",129392
"170",129106
"171",128820
"172",128535
"173",128249
"174",127963
"175",127678
"176",127392
"177",127106
"178",126821
"179",126535
"180",126249
"181",125964
"182",125678
"183",125393
"184",125107
"185",124821
"186",125056
"187",125290
"188",125525
"189",125760
"190",125994
"191",126229
"192",126463
"193",126698
"194",126933
"195",127167
"196",127402
"197",127636
"198",127871
"199",128106
"200",128340
"201",128575
"202",128809
"203",129044
"204",129279
"205",129513
"206",129748
"207",129982
"208",130217
"209",130451
"210",130686
"211",130921
"212",131155
"213",131390
"214",131624
"215",131859
"216",132094
"217",133077
"218",134060
"219",135043
"220",136026
"221",137009
"222",137992
"223",138975
"224",139958
"225",140941
"226",141924
"227",142907
"228",143890
"229",144873
"230",145856
"231",146840
"232",147823
"233",148806
"234",149789
"235",150772
"236",151755
"237",152738
"238",153721
"239",154704
"240",155687
"241",156670
"242",157653
"243",158636
"244",159619
"245",159226
"246",158832
"247",158439
"248",158046
"249",157652
"250",157259
"251",156865
"252",156472
"253",156079
"254",155685
"255",155292
"256",154898
"257",154505
"258",154111
"259",153718
"260",153325
"261",152931
"262",152538
"263",152144
"264",151751
"265",151357
"266",150964
"267",150571
"268",150177
"269",149784
"270",149390
"271",148997
"272",148603
"273",148210
"274",147817
"275",147423
"276",146507
"277",145590
"278",144674
"279",143757
"280",142840
"281",141924
"282",141007
"283",140091
"284",139174
"285",138258
"286",137341
"287",136425
"288",135508
"289",134592
"290",133675
"291",132759
"292",131842
"293",130926
"294",130009
"295",129093
"296",128176
"297",127259
"298",126343
"299",125426
"300",124510
"301",123593
"302",122677
"303",121760
"304",120844
"305",119927
"306",119217
"307",118508
"308",117798
"309",117088
"310",116378
"311",115669
"312",114959
"313",114249
"314",113539
"315",112829
"316",112120
"317",111410
"318",110700
"319",109990
"320",109281
"321",108571
"322",107861
"323",107151
"324",106441
"325",105732
"326",105022
"327",104312
"328",103602
"329",102892
"330",102183
"331",101473
"332",100763
"333",100053
"334",99344
"335",98634
