,Concordance,Date,Mut,Freq,TotSeq,Perc,Country,new_reported_cases,new_reported_cases_daily
1,yes,01/04/2020,Alpha,0,49,0,Veneto,NA,NA
2,yes,01/05/2020,Alpha,0,2,0,Veneto,1192,38.4516129
3,yes,01/06/2020,Alpha,0,4,0,Veneto,134,4.466666667
4,yes,01/07/2020,Alpha,0,NA,#VALUE!,Veneto,834,26.90322581
5,yes,01/08/2020,Alpha,0,17,0,Veneto,2809,90.61290323
6,yes,01/09/2020,Alpha,0,NA,#VALUE!,Veneto,4522,150.7333333
7,yes,01/10/2020,Alpha,0,2,0,Veneto,29502,951.6774194
8,yes,01/11/2020,Alpha,0,55,0,Veneto,88639,2954.633333
9,yes,01/12/2020,Alpha,6,87,0.068965517,Veneto,108283,3493
10,yes,01/01/2021,Alpha,7,40,0.175,Veneto,58310,1880.967742
11,yes,01/02/2021,Alpha,41,91,0.450549451,Veneto,21462,766.5
12,yes,01/03/2021,Alpha,208,243,0.855967078,Veneto,49191,1586.806452
13,yes,01/04/2021,Alpha,242,297,0.814814815,Veneto,29061,968.7
14,yes,01/05/2021,Alpha,127,149,0.852348993,Veneto,11428,368.6451613
