"","Date","new_case","cumCases"
"1",2020-04-01,4312,4312
"2",2020-04-02,4182,8494
"3",2020-04-03,4232,12726
"4",2020-04-04,4445,17171
"5",2020-04-05,3914,21085
"6",2020-04-06,3237,24322
"7",2020-04-07,2702,27024
"8",2020-04-08,3351,30375
"9",2020-04-09,3681,34056
"10",2020-04-10,3463,37519
"11",2020-04-11,4347,41866
"12",2020-04-12,3783,45649
"13",2020-04-13,2979,48628
"14",2020-04-14,2791,51419
"15",2020-04-15,2475,53894
"16",2020-04-16,3420,57314
"17",2020-04-17,3109,60423
"18",2020-04-18,3173,63596
"19",2020-04-19,2804,66400
"20",2020-04-20,2064,68464
"21",2020-04-21,2452,70916
"22",2020-04-22,3036,73952
"23",2020-04-23,2503,76455
"24",2020-04-24,2673,79128
"25",2020-04-25,2195,81323
"26",2020-04-26,2244,83567
"27",2020-04-27,1631,85198
"28",2020-04-28,1962,87160
"29",2020-04-29,1969,89129
"30",2020-04-30,1737,90866
"31",2020-05-01,1827,92693
"32",2020-05-02,1774,94467
"33",2020-05-03,1295,95762
"34",2020-05-04,1166,96928
"35",2020-05-05,1046,97974
"36",2020-05-06,1367,99341
"37",2020-05-07,1327,100668
"38",2020-05-08,1262,101930
"39",2020-05-09,1030,102960
"40",2020-05-10,751,103711
"41",2020-05-11,725,104436
"42",2020-05-12,1361,105797
"43",2020-05-13,857,106654
"44",2020-05-14,960,107614
"45",2020-05-15,745,108359
"46",2020-05-16,836,109195
"47",2020-05-17,662,109857
"48",2020-05-18,442,110299
"49",2020-05-19,766,111065
"50",2020-05-20,632,111697
"51",2020-05-21,634,112331
"52",2020-05-22,631,112962
"53",2020-05-23,659,113621
"54",2020-05-24,514,114135
"55",2020-05-25,289,114424
"56",2020-05-26,389,114813
"57",2020-05-27,576,115389
"58",2020-05-28,581,115970
"59",2020-05-29,507,116477
"60",2020-05-30,404,116881
"61",2020-05-31,349,117230
"62",2020-06-01,176,117406
"63",2020-06-02,310,117716
"64",2020-06-03,319,118035
"65",2020-06-04,173,118208
"66",2020-06-05,512,118720
"67",2020-06-06,262,118982
"68",2020-06-07,196,119178
"69",2020-06-08,276,119454
"70",2020-06-09,279,119733
"71",2020-06-10,199,119932
"72",2020-06-11,374,120306
"73",2020-06-12,163,120469
"74",2020-06-13,333,120802
"75",2020-06-14,331,121133
"76",2020-06-15,302,121435
"77",2020-06-16,209,121644
"78",2020-06-17,325,121969
"79",2020-06-18,325,122294
"80",2020-06-19,249,122543
"81",2020-06-20,259,122802
"82",2020-06-21,217,123019
"83",2020-06-22,216,123235
"84",2020-06-23,119,123354
"85",2020-06-24,187,123541
"86",2020-06-25,292,123833
"87",2020-06-26,254,124087
"88",2020-06-27,173,124260
"89",2020-06-28,163,124423
"90",2020-06-29,123,124546
"91",2020-06-30,134,124680
"92",2020-07-01,184,124864
"93",2020-07-02,181,125045
"94",2020-07-03,218,125263
"95",2020-07-04,231,125494
"96",2020-07-05,184,125678
"97",2020-07-06,207,125885
"98",2020-07-07,124,126009
"99",2020-07-08,186,126195
"100",2020-07-09,219,126414
"101",2020-07-10,265,126679
"102",2020-07-11,178,126857
"103",2020-07-12,218,127075
"104",2020-07-13,163,127238
"105",2020-07-14,95,127333
"106",2020-07-15,142,127475
"107",2020-07-16,201,127676
"108",2020-07-17,178,127854
"109",2020-07-18,215,128069
"110",2020-07-19,171,128240
"111",2020-07-20,148,128388
"112",2020-07-21,107,128495
"113",2020-07-22,246,128741
"114",2020-07-23,284,129025
"115",2020-07-24,222,129247
"116",2020-07-25,244,129491
"117",2020-07-26,236,129727
"118",2020-07-27,154,129881
"119",2020-07-28,188,130069
"120",2020-07-29,247,130316
"121",2020-07-30,274,130590
"122",2020-07-31,262,130852
"123",2020-08-01,249,131101
"124",2020-08-02,194,131295
"125",2020-08-03,137,131432
"126",2020-08-04,170,131602
"127",2020-08-05,343,131945
"128",2020-08-06,344,132289
"129",2020-08-07,369,132658
"130",2020-08-08,284,132942
"131",2020-08-09,405,133347
"132",2020-08-10,239,133586
"133",2020-08-11,347,133933
"134",2020-08-12,421,134354
"135",2020-08-13,439,134793
"136",2020-08-14,447,135240
"137",2020-08-15,509,135749
"138",2020-08-16,401,136150
"139",2020-08-17,274,136424
"140",2020-08-18,343,136767
"141",2020-08-19,583,137350
"142",2020-08-20,686,138036
"143",2020-08-21,831,138867
"144",2020-08-22,911,139778
"145",2020-08-23,1065,140843
"146",2020-08-24,837,141680
"147",2020-08-25,759,142439
"148",2020-08-26,1220,143659
"149",2020-08-27,1279,144938
"150",2020-08-28,1327,146265
"151",2020-08-29,1293,147558
"152",2020-08-30,1256,148814
"153",2020-08-31,931,149745
"154",2020-09-01,881,150626
"155",2020-09-02,1163,151789
"156",2020-09-03,1282,153071
"157",2020-09-04,1460,154531
"158",2020-09-05,1506,156037
"159",2020-09-06,1118,157155
"160",2020-09-07,1039,158194
"161",2020-09-08,1265,159459
"162",2020-09-09,1343,160802
"163",2020-09-10,1450,162252
"164",2020-09-11,1443,163695
"165",2020-09-12,1363,165058
"166",2020-09-13,1316,166374
"167",2020-09-14,953,167327
"168",2020-09-15,1114,168441
"169",2020-09-16,1293,169734
"170",2020-09-17,1476,171210
"171",2020-09-18,1731,172941
"172",2020-09-19,1452,174393
"173",2020-09-20,1414,175807
"174",2020-09-21,1247,177054
"175",2020-09-22,1273,178327
"176",2020-09-23,1490,179817
