"date of vaccination","number of vaccinations","prop_vac"
"2020-12-27","0",0
"2020-12-28","0",0
"2020-12-29","0",0
"2020-12-30","0",0
"2020-12-31","0",0
"2021-01-01","0",0
"2021-01-02","0",0
"2021-01-03","0",0
"2021-01-04","0",0
"2021-01-05","0",0
"2021-01-06","0",0
"2021-01-07","0",0
"2021-01-08","0",0
"2021-01-09","0",0
"2021-01-10","0",0
"2021-01-11","0",0
"2021-01-12","0",0
"2021-01-13","0",0
"2021-01-14","0",0
"2021-01-15","0",0
"2021-01-16","0",0
"2021-01-17","2640",4.9791062368511e-05
"2021-01-18","4889",9.22077666362313e-05
"2021-01-19","1635",3.0836510216862e-05
"2021-01-20","3951",7.45168512946921e-05
"2021-01-21","17663",0.000333128611596595
"2021-01-22","13081",0.000246710941985793
"2021-01-23","29292",0.000552454469279707
"2021-01-24","26687",0.000503323515692596
"2021-01-25","58384",0.00110113688837998
"2021-01-26","69718",0.00131489897204843
"2021-01-27","57938",0.00109272521647985
"2021-01-28","80214",0.00151285616546505
"2021-01-29","85337",0.00160947723081122
"2021-01-30","78453",0.00147964326363515
"2021-01-31","52919",0.000998065617226983
"2021-02-01","73391",0.00138417267359371
"2021-02-02","75939",0.00143222859287968
"2021-02-03","85634",0.00161507872532768
"2021-02-04","88279",0.00166496408895068
"2021-02-05","82989",0.00156519336170468
"2021-02-06","60095",0.00113340677766503
"2021-02-07","31227",0.000588949054765718
"2021-02-08","37149",0.000700639460578718
"2021-02-09","30833",0.000581518115912235
"2021-02-10","27057",0.000510301808524547
"2021-02-11","19227",0.000362626043999758
"2021-02-12","14916",0.000281319502382087
"2021-02-13","6751",0.000127325553806749
"2021-02-14","2586",4.87726088200642e-05
"2021-02-15","5804",0.000109464896207136
"2021-02-16","6021",0.00011355757065182
"2021-02-17","9484",0.000178870619508697
"2021-02-18","8054",0.000151900460725753
"2021-02-19","6563",0.000123779826638083
"2021-02-20","4430",8.35509114744333e-05
"2021-02-21","2236",4.21715210060571e-05
"2021-02-22","4992",9.41503724786391e-05
"2021-02-23","5205",9.81676059197348e-05
"2021-02-24","7661",0.000144488382123168
"2021-02-25","11696",0.000220589494493222
"2021-02-26","14128",0.000266457624675123
"2021-02-27","11094",0.000209235623453129
"2021-02-28","7372",0.000139037769613888
"2021-03-01","22681",0.00042776935059856
"2021-03-02","27487",0.000518411716410327
"2021-03-03","38685",0.000729608805956761
"2021-03-04","43807",0.000826211011052032
"2021-03-05","48800",0.000920380243781568
"2021-03-06","35952",0.000678063740254814
"2021-03-07","19877",0.000374885207082914
"2021-03-08","43433",0.000819157277216493
"2021-03-09","43139",0.000813612363452726
"2021-03-10","49295",0.000929716067975664
"2021-03-11","54217",0.0010225462228915
"2021-03-12","54344",0.00102494147475544
"2021-03-13","45376",0.000855802744709681
"2021-03-14","32494",0.000612844992652423
"2021-03-15","65264",0.00123089541455246
"2021-03-16","67009",0.00126380655236801
"2021-03-17","74474",0.00140459832531534
"2021-03-18","74431",0.00140378733452676
"2021-03-19","72731",0.00137172490800158
"2021-03-20","60107",0.00113363310067579
"2021-03-21","41820",0.000788735692519368
"2021-03-22","60979",0.00115007923945812
"2021-03-23","66862",0.00126103409548613
"2021-03-24","79491",0.00149922020406641
"2021-03-25","78394",0.00147853050883222
"2021-03-26","72903",0.00137496887115589
"2021-03-27","61506",0.00116001859168092
"2021-03-28","37238",0.000702318022908566
"2021-03-29","62404",0.00117695509698658
"2021-03-30","71106",0.00134107700029369
"2021-03-31","83497",0.00157477436916044
"2021-04-01","84112",0.0015863734234622
"2021-04-02","72933",0.00137553467868281
"2021-04-03","53184",0.00100306358371473
"2021-04-04","19250",0.000363059829770393
"2021-04-05","32558",0.000614052048709842
"2021-04-06","71199",0.00134283100362713
"2021-04-07","82621",0.00155825278937453
"2021-04-08","81329",0.00153388534521539
"2021-04-09","73825",0.00139235802248308
"2021-04-10","60316",0.0011375748931133
"2021-04-11","35063",0.000661296977207236
"2021-04-12","54295",0.00102401732246148
"2021-04-13","62111",0.00117142904347371
"2021-04-14","73397",0.00138428583509909
"2021-04-15","88209",0.00166364387138788
"2021-04-16","87822",0.00165634495429067
"2021-04-17","77111",0.00145433280693116
"2021-04-18","46893",0.000884413745320677
"2021-04-19","71479",0.00134811187387833
"2021-04-20","83819",0.00158084736994933
"2021-04-21","103123",0.00194492565326817
"2021-04-22","120126",0.00226560649927264
"2021-04-23","121906",0.00229917774586959
"2021-04-24","105534",0.00199039771818123
"2021-04-25","42319",0.000798146957717053
"2021-04-26","76949",0.00145127744628582
"2021-04-27","104661",0.00197393271914801
"2021-04-28","130821",0.0024673168826178
"2021-04-29","161589",0.00304760908222172
"2021-04-30","174367",0.00328860536818567
"2021-05-01","140534",0.00265050649958194
"2021-05-02","107440",0.00202634535639122
"2021-05-03","115574",0.00217975463718875
"2021-05-04","129635",0.00244494862505376
"2021-05-05","139607",0.00263302304700027
"2021-05-06","165258",0.00311680734276341
"2021-05-07","181022",0.00341412033790629
"2021-05-08","175141",0.00330320320238007
"2021-05-09","117073",0.0022080261532836
"2021-05-10","138559",0.00261325750406005
"2021-05-11","151212",0.00285189625866185
"2021-05-12","154767",0.00291894445060127
"2021-05-13","174128",0.00328409776822125
"2021-05-14","182481",0.00344163744396525
"2021-05-15","171909",0.00324224687148044
"2021-05-16","130029",0.00245237956390724
"2021-05-17","184609",0.00348177205787442
"2021-05-18","174497",0.0032910572008023
"2021-05-19","165251",0.00311667532100713
"2021-05-20","218398",0.00411904107543867
"2021-05-21","219640",0.00414246550705294
"2021-05-22","178945",0.00337494759679288
"2021-05-23","133004",0.0025084888103263
"2021-05-24","164798",0.00310813162735071
"2021-05-25","193778",0.00365470169835051
"2021-05-26","223021",0.00420623201533625
"2021-05-27","258048",0.00486685002351119
"2021-05-28","248696",0.00469046895712092
"2021-05-29","197084",0.00371705368781653
"2021-05-30","139709",0.00263494679259178
"2021-05-31","142762",0.00269252713858082
"2021-06-01","123515",0.00232952388956312
"2021-06-02","66902",0.00126178850552202
"2021-06-03","119362",0.0022511972675872
"2021-06-04","117602",0.0022180032260082
"2021-06-05","110037",0.00207532542797116
"2021-06-06","76998",0.00145220159857978
"2021-06-07","106845",0.00201512350710741
"2021-06-08","113484",0.00214033671281368
"2021-06-09","114182",0.0021535011679399
"2021-06-10","119068",0.00224565235382344
"2021-06-11","122231",0.00230530732741116
"2021-06-12","91358",0.00172303480146304
"2021-06-13","69874",0.00131784117118839
"2021-06-14","183981",0.003469927820311
"2021-06-15","195204",0.00368159641612986
"2021-06-16","214809",0.00405135163496875
"2021-06-17","259827",0.00490040240985724
"2021-06-18","262217",0.00494547840950146
"2021-06-19","239817",0.00452300878940501
"2021-06-20","190185",0.003586936816877
"2021-06-21","251510",0.00474354170314554
"2021-06-22","257581",0.00485804228634221
"2021-06-23","254054",0.00479152218142792
"2021-06-24","279097",0.00526383944464558
"2021-06-25","297676",0.00561424404606397
"2021-06-26","253603",0.0047830162082733
"2021-06-27","193715",0.00365351350254398
"2021-06-28","264512",0.00498876268531045
"2021-06-29","290130",0.00547192459279398
"2021-06-30","299804",0.00565437865997314
"2021-07-01","318123",0.00599987959615827
"2021-07-02","322068",0.00607428328594758
"2021-07-03","333556",0.00629094984825419
"2021-07-04","255941",0.00482711147487087
"2021-07-05","346841",0.00654150828142301
"2021-07-06","351008",0.00662009894691149
"2021-07-07","376489",0.0071006770000221
