"","mean","lower","upper"
"X",1878.8,80.45,3902.65
"beta_M",0.289447473466549,0.27264432797236,0.308271092204281
"beta_A",0.275249016195557,0.25890313814068,0.296461158976164
"beta_O",0.25274238293563,0.241835328634725,0.263756927914675
"beta_Al",0.412921517485948,0.382487741471428,0.451839322153413
"rho_v",0.739228893647411,0.400206110084871,0.984282745713133
"rho_i",0.863313509934817,0.628645125631015,0.995356204383812
"omega_v1",0.255754139782538,0.104055911771283,0.350695193369978
"omega_v2",0.337498821111377,0.0661336796530415,0.468746674784101
"omega_i1",0.317028776655856,0.26452050669067,0.381038912479449
"omega_i2",0.46033278574189,0.362094856872715,0.540165933582834
"I0_i_M",55.3048014244617,10.0744010242042,207.780705321224
"I0_i_A",16.3052618342362,0.392902292155806,82.147953813377
"I0_i_O",161.390873714962,40.2830593672424,402.257698361917
"I0_i_Al",331.160567589346,146.851750186763,549.048491219476
"I0_v_M",536.011346776031,314.483288888015,724.476550650289
"I0_v_A",37.6963036071344,1.75137442359281,132.415008061661
"I0_v_O",129.933221429714,33.3030939367166,279.995109050539
"I0_v_Al",98.3183477915616,27.636358455714,222.031992277117
"k",0.144804626769661,0.0352726461884983,0.380109892376514
