"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",20.8381696317761,0.29803723061981,2.87203197787107,15.4122144566748,18.9303591070559,20.8026118981153,22.972928041445,25.9662628995122,92.8618868413188,1.02407959573825
"beta[1]",3.11037291214223,0.16361325913517,2.25340419358899,0.197313005487599,1.4015660857987,2.65906135757748,4.61172491891718,8.18800074251395,189.688588492018,1.01145943130371
"beta[2]",3.52080394696597,0.118667487297165,2.22494035430156,0.163056680211145,1.65731682029613,3.28055667772421,5.07316833076251,7.77199513959558,351.538789444293,0.993313925926159
"beta[3]",3.44965289181562,0.115644643621503,2.22944263852973,0.0638671686620292,1.73315173634826,3.0039653093338,4.9413526021337,7.93699592510866,371.656353460439,0.998482170458283
"beta[4]",3.33694206547599,0.139844117804733,1.9857540625919,0.250762885887159,1.82669585430882,3.12314996468877,4.68109114385086,7.2421410420823,201.633418077314,1.00333236469089
"rho",0.480935906702496,0.0206955533000258,0.228503338460843,0.0611419888397211,0.303021922545959,0.483338055586494,0.649795220575435,0.88644479092258,121.907665689625,1.01357232138701
"omega[1]",0.495341795797629,0.0151956423988124,0.224795142711838,0.105337648271821,0.316950479674362,0.484203683705955,0.675783271037393,0.91244511848303,218.844540352427,1.00744898501362
"omega[2]",0.490589225124506,0.0171478248693658,0.236090893355741,0.0646485900985006,0.297016067611122,0.486387259150672,0.686428888976959,0.885486475241257,189.557246802077,0.996711334292992
"I0[1]",1245.39896070443,53.5404545491683,758.734897779538,102.090890361165,657.46649438576,1118.70950764016,1784.49090482366,2807.18592749155,200.824184295202,1.01285606663243
"I0[2]",1261.4941251476,58.7293536602005,807.767316153684,120.770841146729,605.862810914713,1181.39815865214,1765.90438431355,3043.58993272381,189.174289271545,1.01126081972865
"I0[3]",1286.68163166878,45.1693863864769,851.186921357663,73.9770405760717,645.059991287286,1181.65606186443,1743.18315438352,3084.55309251009,355.108855246872,0.992421195244267
"I0[4]",1238.66841256634,52.477393602025,885.090843347355,61.4256462444053,544.091069102211,1043.76976171012,1851.9514385928,3219.80478234158,284.466534526399,1.00623728756458
"k",105.486045845489,8.12399172217205,101.64249871171,3.03171105003852,29.9028850131121,72.1218745917329,156.224713052482,358.050811224309,156.535095089836,1.01491785598051
