"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-77.6258511727879,0.431822155123663,3.35519516069643,-85.2324903202688,-79.3258098726997,-77.2738036284797,-75.3711109095861,-72.0511463105866,60.3706333916064,1.00508028316735
"beta[1]",0.929523603101081,0.0084662573922281,0.096750803299882,0.790202826495237,0.858854786867294,0.914608094945153,0.980259362673728,1.16836774099495,130.594901895528,1.02549240297413
"beta[2]",1.50819668546932,0.0764639524058731,0.700724696802537,0.861945650706067,1.01410520904799,1.25980951390112,1.71915948507997,3.38990746797827,83.981062123725,1.04453421850624
"beta[3]",1.31849930862003,0.068726755525449,0.606065895448473,0.750400816986988,0.891470095334562,1.12794638801588,1.4508471466048,2.95025499939582,77.7656860993274,1.0471179767962
"beta[4]",2.2110994554737,0.10657018494538,0.983772829509609,1.24672481892562,1.55873056667967,1.83347874241428,2.43524855210489,5.18492311398264,85.2154238730499,1.0433316879744
"rho",0.520414291251399,0.0218161056449767,0.198143563630514,0.223963718589153,0.345939824421817,0.517733870092306,0.653198714715189,0.882453570607557,82.4907938523617,1.04339957205391
"omega[1]",0.311178932656634,0.00754968599090221,0.0783343679206115,0.146664925339027,0.264057955906698,0.323473114482367,0.370969144729722,0.431759715070535,107.658149239857,1.02559159908175
"omega[2]",0.356187624142327,0.0111686032883003,0.113463079026677,0.0996887420428679,0.283753012579659,0.37695517765302,0.440243738274555,0.531127316587517,103.207533592159,1.01969881335703
"I0[1]",1703.38788447683,34.2164943399012,670.312384625261,655.321500379941,1231.14471168569,1574.95143916197,2130.63899568048,3104.66829469042,383.78099408406,0.996785799878543
"I0[2]",69.0638862649808,15.8815622314844,155.898222612958,2.9010311254927,10.1553948747003,21.9122840374977,52.9191530385092,593.613896515196,96.3597991922802,1.00322184063229
"I0[3]",284.551604381864,19.7293528459348,271.113782500415,20.207221619789,87.4707949246776,204.586176835401,393.911344952978,1114.91254363291,188.832834625617,0.998656213392162
"I0[4]",287.251178603698,26.1620934821229,357.142716383194,9.7100138312603,68.9028121354263,156.532577779084,333.345043617749,1321.78157766804,186.353952618256,1.00083448361762
