"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U","M_fit_M","A_fit_M","O_fit_M","Al_fit_M","M_fit_L","A_fit_L","O_fit_L","Al_fit_L","M_fit_U","A_fit_U","O_fit_U","Al_fit_U"
"1",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,0,0,2,0,0,54,164,0
"2",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,20,0,0,0,3,0,0,83,248,0
"3",2020-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,24,0,0,0,4,0,0,98,292,0
"4",2020-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27,0,0,0,4,0,0,108,316,0
"5",2020-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,28,0,0,0,4,0,0,114,329,0
"6",2020-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,29,0,0,0,4,0,0,119,338,0
"7",2020-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,30,0,0,1,5,0,0,123,344,0
"8",2020-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,31,0,0,1,5,0,0,128,348,0
"9",2020-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,32,0,0,1,5,0,0,131,352,0
"10",2020-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,34,0,0,1,6,0,0,135,356,0
"11",2020-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,35,0,0,1,6,0,0,139,361,0
"12",2020-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,36,0,0,1,6,0,0,144,366,0
"13",2020-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,37,0,0,1,6,0,0,148,370,0
"14",2020-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,38,0,0,1,7,0,0,152,376,0
"15",2020-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,39,0,0,1,7,0,0,157,381,0
"16",2020-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,40,0,0,1,7,0,0,161,386,0
"17",2020-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,42,0,0,1,8,0,0,166,391,0
"18",2020-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,43,0,0,1,8,0,0,171,396,0
"19",2020-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,44,0,0,1,9,0,0,176,402,0
