"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",18.1478034976731,0.310793337466318,2.79147917565851,12.1941682529318,16.4226069641942,18.4238969242017,20.2136163117547,22.7421035663113,80.6724756061944,1.00251321674917
"beta[1]",3.38067293519658,0.14856691465582,2.21610940153929,0.253313299638714,1.64278042659722,3.0169548872094,4.84963807968426,8.72228204158626,222.504184942543,1.0097263608227
"beta[2]",3.39430390837809,0.1510179181735,2.08178178117402,0.318973501906383,1.97101214165491,2.93741485712005,4.72726522811331,8.05401494182092,190.026184681802,0.996402844831418
"beta[3]",3.02323075387425,0.151119423955161,2.30578996257178,0.0346946070850034,1.29667850181295,2.51859407325252,4.42407703786588,8.38881868355659,232.808541304747,1.00441595926045
"beta[4]",3.40356756834278,0.167075430379806,2.49500161104628,0.15782668393852,1.40689885866019,2.99009041454271,4.55869738608177,9.60280040290258,223.005967026305,0.991648428971547
"rho",0.489184634325737,0.0165399277603172,0.221998011615617,0.108471544696167,0.316526354978235,0.518103238330989,0.647983546208637,0.930352426843457,180.148625294011,1.01399243744935
"omega[1]",0.493981192165818,0.0143322652967665,0.206145759480543,0.139535980308363,0.338077733917779,0.481525297270827,0.635071910111201,0.880305268662306,206.880298441915,1.00180627239733
"omega[2]",0.492875061165002,0.0158384667789201,0.220607365363711,0.101763950474682,0.301176573633611,0.531675543063088,0.663309612218932,0.861056155900513,194.005365011174,1.01600444373082
"I0[1]",794.545317205686,42.0413079283438,677.555327583656,23.0944252994297,248.252218608854,597.233288141755,1196.45250303099,2328.69107170691,259.738956555261,0.997556723079745
"I0[2]",802.433702349774,52.8624761285525,573.641119766172,21.5451996908025,381.002784235154,717.377341189768,1097.82021682641,2254.60224635846,117.756678080344,1.01506671011367
"I0[3]",820.450758863652,41.7820588757969,627.419739653941,48.4177255852257,346.27513410496,628.944016393837,1164.23284553376,2322.96699589578,225.494878739169,0.994621898824284
"I0[4]",862.54485012183,44.0081016802876,622.937788142973,34.2339134835575,334.644802432533,703.439261445495,1324.05452366306,2262.46353972128,200.366024904573,1.01184388571387
