"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-90.2672386072241,0.191052566622018,2.65716256736262,-96.3271952678795,-91.7642307479348,-89.9515796752292,-88.4247933288269,-85.9656130714543,193.432969323647,1.01539747330317
"beta[1]",1.2879053383608,0.0070582222385243,0.103524533458703,1.08734497815771,1.22217761411567,1.28928280809602,1.35774167424447,1.49437274832907,215.12748831232,1.01927695296555
"beta[2]",2.67969914088005,0.0384174866726807,0.474999937575478,1.63464008342389,2.3685743897509,2.71132600455809,3.01396569545777,3.55359037634887,152.872443208757,1.04022312307025
"beta[3]",3.08904606812881,0.0442265578164596,0.564862278860724,1.91912042993045,2.70803092572385,3.1221625072531,3.47786752481185,4.12800267123296,163.124378151733,1.02500729287292
"beta[4]",3.68563884567457,0.0543104404948114,0.662107611961805,2.27781160706782,3.22247047445904,3.70526241001762,4.11422119496578,4.90973247718153,148.624535782676,1.0396199787698
"rho",0.891656645842799,0.00513247995896852,0.0616608127202984,0.718735854083963,0.865634724330376,0.907434167898865,0.933716738450576,0.972153734417075,144.33244372446,1.03552897664869
"omega[1]",0.449157548923431,0.0045264735690044,0.0643045970006672,0.324124080388514,0.403214339762524,0.45387138685724,0.49895783832617,0.561476366830465,201.819935996375,1.00565598771733
"omega[2]",0.288659851959415,0.00774592760435877,0.117837093777584,0.0703127486918516,0.202286921372829,0.290565258025691,0.380513570744714,0.502899486239487,231.428680185486,1.00557702487844
"I0[1]",144.05404399396,2.34588977892658,64.2595162111164,44.8107248702607,95.4254179228346,137.495589596307,182.315603853954,282.066556290752,750.342761107189,0.998376867287737
"I0[2]",95.3905386640967,2.84617448045989,63.0327815827465,10.3968038322923,45.6277212832098,84.7411509151167,134.478569914853,233.13833141936,490.467126901974,1.00234003080383
"I0[3]",23.0405089463192,1.36193268985739,32.6354722148975,0.0354539474874789,1.99096045596483,9.19789348124641,31.6694269033309,116.310781822654,574.20704122002,1.00013943460732
"I0[4]",64.8371761293674,1.9351216868487,49.9362362719819,5.6796928327998,26.2663567049612,51.5426191695914,92.2214011542662,202.330203853621,665.9092569935,1.00107347664731
