"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-106.149298906867,0.136050376045099,3.96605007819125,-115.542509307152,-108.498875975114,-105.615583937144,-103.285031167916,-99.9800661803872,849.80032766456,1.00043966426011
"beta[1]",0.425994901660582,0.000614020671531953,0.0172275810791485,0.394752840826904,0.413625091603505,0.425274103145683,0.436871409566833,0.461475837156977,787.195532117291,1.00759282200218
"beta[2]",0.451881014225906,0.00128037967050455,0.0314639701175265,0.390124084200354,0.430555183840107,0.45114914524893,0.473387420752442,0.513606542981395,603.87840879402,1.01006088232594
"beta[3]",0.41162231464181,0.0010187522563162,0.0263941235408832,0.359275025837467,0.393490152287309,0.411335790009636,0.430440403497487,0.461287364983543,671.239218409271,1.00802529310028
"beta[4]",0.6571605853688,0.00157232329539685,0.0418901204901116,0.57949264728299,0.627112177494522,0.655516539953271,0.684727980829785,0.742499753330918,709.805763148686,1.00915147074493
"rho_it",0.728719418747298,0.0043773468669082,0.112180117368719,0.480706990586605,0.659587068540835,0.735705463808342,0.810669995552552,0.920356605880657,656.764781434028,1.00932111068139
"rho_ven",0.737572418974182,0.00554750059481562,0.140697699337377,0.419729565322609,0.651059854149767,0.752721360930797,0.839215163300467,0.96479200633014,643.249233004749,1.00756944214672
"omega[1]",0.341604090496815,0.000880571711405374,0.0291030915186186,0.281943570219251,0.322505211206495,0.341753478690183,0.361400970672184,0.396486196230057,1092.31724704401,1.00349651927042
"omega[2]",0.484691293594686,0.000831871302705953,0.0362639640170386,0.411651169940264,0.461342337849138,0.485202573326409,0.508762042998314,0.555324005331626,1900.37043420546,1.00200202575588
"omega[3]",0.353991864087905,0.00154930227155265,0.0376533041069729,0.273213850046292,0.335538574606687,0.357914423359687,0.377935283158302,0.414773169789162,590.654978000751,1.00952294765144
"omega[4]",0.438543212824116,0.00179431578708518,0.0529531634424884,0.322646969651091,0.412035807042864,0.443941469936762,0.472385574961528,0.522859819838629,870.935641802073,1.00495584528996
"I0_it[1]",243.254374082172,2.83011276704217,124.42470998358,48.336774849416,149.798021648651,226.451134814572,322.770091841672,523.2952082305,1932.88400960822,1.00176472796796
"I0_it[2]",9.96360645151208,0.40284042574823,16.2003066633771,0.306196893070271,1.88137617070678,4.66246749934708,11.1088035313585,53.5653006800615,1617.26198636121,1.00230995214003
"I0_it[3]",131.662364675841,1.61366690922619,93.9369735984066,14.7761396856723,61.4506405306906,111.245937024152,179.411264627646,367.417810667955,3388.79534681421,1.00023533566785
"I0_it[4]",307.891584274528,2.19316726179275,119.578478010959,109.385081909067,220.090718466044,295.747941636794,380.995966048857,571.130639506472,2972.77838174689,1.00093027602827
"I0_ven[1]",406.385069870702,3.30270648641049,129.081939165005,184.156660515006,311.537073058186,395.422753712282,488.764060128524,686.82568362953,1527.53441430853,1.00276279255022
"I0_ven[2]",31.7836544020583,0.841495591815226,37.4188621977,2.45327035782417,9.20979105972383,19.2519772867408,39.096652153277,135.642905511673,1977.32230252151,1.00352785828526
"I0_ven[3]",115.253663082628,1.48361134434361,82.6270814545032,15.8852886366297,54.4244517258948,94.6397367789184,155.06142543495,323.89144379218,3101.73388753026,0.999729762388995
"I0_ven[4]",101.836396328725,1.09478197695632,57.3569292568989,28.4843146165023,61.3632709634581,87.4422709476586,128.862574712084,248.875852439997,2744.83666458008,1.00089532759
"k",0.118911152694571,0.00187662012100828,0.077713964908898,0.0200382059737103,0.0655412801179576,0.10195412516772,0.153848147693381,0.315831168126714,1714.9260477429,1.00078622939184
