"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-101.514434688826,0.113377859656916,3.66932855848048,-109.746121304802,-103.610624896221,-101.071196291131,-98.8512185322356,-95.5522380452342,1047.40994654374,1.00603796578119
"beta[1]",0.477185218901377,0.000533995971222507,0.0180137948161228,0.441384092152866,0.464994717841608,0.477777884500142,0.489863951122101,0.510678419998403,1137.97956235417,1.00339546869876
"beta[2]",0.491835538099068,0.000878221755192383,0.0278087092386827,0.434987484175541,0.473123251039993,0.493885401571262,0.511467242463672,0.542160054585551,1002.65905461282,1.00409104542323
"beta[3]",0.457447321147309,0.0007482830965751,0.0240921843503284,0.407528003880206,0.440864871493258,0.459568157099412,0.47561512458459,0.498196388787905,1036.62215332921,1.00393300505958
"beta[4]",0.683874887275709,0.00113026067474041,0.0366992879477164,0.612467280077006,0.659129179093109,0.684455117643487,0.70900937647119,0.75321411047193,1054.28503301014,1.005512963202
"rho_it",0.667746174520871,0.00612197499835555,0.197436747049005,0.214967635832791,0.547833850145937,0.699623387241637,0.819586186918636,0.962968052405699,1040.09466980295,1.00412330360088
"rho_ven",0.647265747350636,0.00688426152671325,0.231623082579132,0.119153359846897,0.495843426467155,0.680783854686163,0.835915608755069,0.97729024060584,1132.00658581438,1.00358881440798
"omega[1]",0.295922627017209,0.000688472539845372,0.0271277985649679,0.240562763247004,0.277938917267357,0.296559805976116,0.314623651852561,0.34833502330121,1552.58668835561,1.00198483321444
"omega[2]",0.430970801966868,0.000741745580998464,0.0361211530758982,0.356076003116466,0.407847642004205,0.432302771591525,0.455422158392911,0.497442525673381,2371.44619705605,1.00176345876225
"omega[3]",0.315317644664402,0.000702571192642235,0.0270306489696753,0.260179922583031,0.297499005936822,0.315949487649657,0.333913323191713,0.367287846338005,1480.24045123605,1.00324349834342
"omega[4]",0.429766800410987,0.000857127572601565,0.0392917964446666,0.349842413585086,0.40453979883025,0.430062157156173,0.456434377591309,0.503269012258259,2101.4198921288,0.999595217407692
"I0_it[1]",192.64472509112,2.03655530970824,105.649923985419,38.5037218725576,114.367970696603,176.058528722126,254.521335842646,444.26678342145,2691.19990710969,1.00077217259761
"I0_it[2]",16.0273128650015,0.514831785672337,20.99327469885,0.819522060543113,4.1998863526145,9.11340279748962,19.0582762228157,75.7813605455337,1662.76039837104,1.00206572765062
"I0_it[3]",129.967104500727,1.46889583669409,88.5681154951928,18.8297640472751,63.8575699885367,110.387045088294,174.606505571047,358.611678851608,3635.57248888669,1.00003933241779
"I0_it[4]",321.477074094765,1.96450671201524,116.445829866661,132.306942358167,236.717351034199,308.492759639843,394.211096968056,577.115867284245,3513.50719006175,1.00084202334631
"I0_ven[1]",391.294787473532,2.25270068432053,114.811559126916,194.548457938017,308.484064875077,381.910979376685,464.930977749363,645.945980395629,2597.55198178941,0.999511992977039
"I0_ven[2]",33.4909415976586,0.788952279573285,32.7999850043316,3.45108069855151,12.3134097027094,23.3002675864881,43.2292984173737,121.318688591672,1728.40621639056,1.00090987473153
"I0_ven[3]",91.6723274081744,1.16339811893551,66.6085508126576,14.5880171186276,42.8042981790538,74.0650547272546,122.804216909164,263.013796449148,3277.95702313531,1.0007288929661
"I0_ven[4]",72.5191121767438,0.863440924805534,43.0274493138532,20.2114324182746,42.7350816231277,62.9052820159213,90.0131005931619,187.904217740978,2483.28145311309,0.99997884362891
"k",0.0831707695273593,0.00128000326166234,0.0563781036514006,0.0109602215276431,0.0430322845090662,0.0704174907069742,0.110819636983597,0.227043502730172,1939.98679974231,1.001793134728
