,Concordance,Date,Mut,Freq,TotSeq,Perc,Country,new_reported_cases,new_reported_cases_daily
1,yes,01/04/2020,Other,49,49,1,Veneto,NA,NA
2,yes,01/05/2020,Other,2,2,1,Veneto,1192,38.4516129
3,yes,01/06/2020,Other,4,4,1,Veneto,134,4.466666667
4,yes,01/07/2020,Other,0,NA,NA,Veneto,834,26.90322581
5,yes,01/08/2020,Other,11,17,0.647058824,Veneto,2809,90.61290323
6,yes,01/09/2020,Other,0,NA,NA,Veneto,4522,150.7333333
7,yes,01/10/2020,Other,1,2,0.5,Veneto,29502,951.6774194
8,yes,01/11/2020,Other,15,55,0.272727273,Veneto,88639,2954.633333
9,yes,01/12/2020,Other,16,87,0.183908046,Veneto,108283,3493
10,yes,01/01/2021,Other,4,40,0.1,Veneto,58310,1880.967742
11,yes,01/02/2021,Other,26,91,0.285714286,Veneto,21462,766.5
12,yes,01/03/2021,Other,22,243,0.090534979,Veneto,49191,1586.806452
13,yes,01/04/2021,Other,53,297,0.178451178,Veneto,29061,968.7
14,yes,01/05/2021,Other,20,149,0.134228188,Veneto,11428,368.6451613
