"","Date","region","cum_deaths","deaths"
"1",2020-04-01,"Veneto",499,499
"2",2020-04-02,"Veneto",532,33
"3",2020-04-03,"Veneto",572,40
"4",2020-04-04,"Veneto",607,35
"5",2020-04-05,"Veneto",631,24
"6",2020-04-06,"Veneto",662,31
"7",2020-04-07,"Veneto",695,33
"8",2020-04-08,"Veneto",736,41
"9",2020-04-09,"Veneto",756,20
"10",2020-04-10,"Veneto",793,37
"11",2020-04-11,"Veneto",831,38
"12",2020-04-12,"Veneto",856,25
"13",2020-04-13,"Veneto",882,26
"14",2020-04-14,"Veneto",906,24
"15",2020-04-15,"Veneto",940,34
"16",2020-04-16,"Veneto",981,41
"17",2020-04-17,"Veneto",1026,45
"18",2020-04-18,"Veneto",1059,33
"19",2020-04-19,"Veneto",1087,28
"20",2020-04-20,"Veneto",1112,25
"21",2020-04-21,"Veneto",1154,42
"22",2020-04-22,"Veneto",1181,27
"23",2020-04-23,"Veneto",1206,25
"24",2020-04-24,"Veneto",1244,38
"25",2020-04-25,"Veneto",1288,44
"26",2020-04-26,"Veneto",1315,27
"27",2020-04-27,"Veneto",1344,29
"28",2020-04-28,"Veneto",1408,64
"29",2020-04-29,"Veneto",1437,29
"30",2020-04-30,"Veneto",1459,22
"31",2020-05-01,"Veneto",1479,20
"32",2020-05-02,"Veneto",1502,23
"33",2020-05-03,"Veneto",1516,14
"34",2020-05-04,"Veneto",1528,12
"35",2020-05-05,"Veneto",1545,17
"36",2020-05-06,"Veneto",1568,23
"37",2020-05-07,"Veneto",1589,21
"38",2020-05-08,"Veneto",1627,38
"39",2020-05-09,"Veneto",1643,16
"40",2020-05-10,"Veneto",1657,14
"41",2020-05-11,"Veneto",1666,9
"42",2020-05-12,"Veneto",1686,20
"43",2020-05-13,"Veneto",1712,26
"44",2020-05-14,"Veneto",1743,31
"45",2020-05-15,"Veneto",1762,19
"46",2020-05-16,"Veneto",1783,21
"47",2020-05-17,"Veneto",1794,11
"48",2020-05-18,"Veneto",1803,9
"49",2020-05-19,"Veneto",1820,17
"50",2020-05-20,"Veneto",1832,12
"51",2020-05-21,"Veneto",1841,9
"52",2020-05-22,"Veneto",1854,13
"53",2020-05-23,"Veneto",1865,11
"54",2020-05-24,"Veneto",1869,4
"55",2020-05-25,"Veneto",1878,9
"56",2020-05-26,"Veneto",1886,8
"57",2020-05-27,"Veneto",1895,9
"58",2020-05-28,"Veneto",1898,3
"59",2020-05-29,"Veneto",1906,8
"60",2020-05-30,"Veneto",1916,10
"61",2020-05-31,"Veneto",1918,2
"62",2020-06-01,"Veneto",1918,0
"63",2020-06-02,"Veneto",1921,3
"64",2020-06-03,"Veneto",1921,0
"65",2020-06-04,"Veneto",1934,13
"66",2020-06-05,"Veneto",1938,4
"67",2020-06-06,"Veneto",1949,11
"68",2020-06-07,"Veneto",1954,5
"69",2020-06-08,"Veneto",1955,1
"70",2020-06-09,"Veneto",1961,6
"71",2020-06-10,"Veneto",1961,0
"72",2020-06-11,"Veneto",1964,3
"73",2020-06-12,"Veneto",1967,3
"74",2020-06-13,"Veneto",1977,10
"75",2020-06-14,"Veneto",1978,1
"76",2020-06-15,"Veneto",1978,0
"77",2020-06-16,"Veneto",1982,4
"78",2020-06-17,"Veneto",1987,5
"79",2020-06-18,"Veneto",1994,7
"80",2020-06-19,"Veneto",1998,4
"81",2020-06-20,"Veneto",2002,4
"82",2020-06-21,"Veneto",2002,0
"83",2020-06-22,"Veneto",2003,1
"84",2020-06-23,"Veneto",2004,1
"85",2020-06-24,"Veneto",2004,0
"86",2020-06-25,"Veneto",2006,2
"87",2020-06-26,"Veneto",2007,1
"88",2020-06-27,"Veneto",2007,0
"89",2020-06-28,"Veneto",2008,1
"90",2020-06-29,"Veneto",2008,0
"91",2020-06-30,"Veneto",2012,4
"92",2020-07-01,"Veneto",2022,10
"93",2020-07-02,"Veneto",2022,0
"94",2020-07-03,"Veneto",2023,1
"95",2020-07-04,"Veneto",2023,0
"96",2020-07-05,"Veneto",2023,0
"97",2020-07-06,"Veneto",2024,1
"98",2020-07-07,"Veneto",2034,10
"99",2020-07-08,"Veneto",2034,0
"100",2020-07-09,"Veneto",2037,3
"101",2020-07-10,"Veneto",2039,2
"102",2020-07-11,"Veneto",2039,0
"103",2020-07-12,"Veneto",2039,0
"104",2020-07-13,"Veneto",2039,0
"105",2020-07-14,"Veneto",2041,2
"106",2020-07-15,"Veneto",2043,2
"107",2020-07-16,"Veneto",2047,4
"108",2020-07-17,"Veneto",2047,0
"109",2020-07-18,"Veneto",2049,2
"110",2020-07-19,"Veneto",2050,1
"111",2020-07-20,"Veneto",2050,0
"112",2020-07-21,"Veneto",2053,3
"113",2020-07-22,"Veneto",2057,4
"114",2020-07-23,"Veneto",2062,5
"115",2020-07-24,"Veneto",2063,1
"116",2020-07-25,"Veneto",2064,1
"117",2020-07-26,"Veneto",2064,0
"118",2020-07-27,"Veneto",2064,0
"119",2020-07-28,"Veneto",2069,5
"120",2020-07-29,"Veneto",2073,4
"121",2020-07-30,"Veneto",2073,0
"122",2020-07-31,"Veneto",2074,1
"123",2020-08-01,"Veneto",2075,1
"124",2020-08-02,"Veneto",2075,0
"125",2020-08-03,"Veneto",2076,1
"126",2020-08-04,"Veneto",2077,1
"127",2020-08-05,"Veneto",2077,0
"128",2020-08-06,"Veneto",2077,0
"129",2020-08-07,"Veneto",2078,1
"130",2020-08-08,"Veneto",2083,5
"131",2020-08-09,"Veneto",2083,0
"132",2020-08-10,"Veneto",2083,0
"133",2020-08-11,"Veneto",2085,2
"134",2020-08-12,"Veneto",2092,7
"135",2020-08-13,"Veneto",2094,2
"136",2020-08-14,"Veneto",2095,1
"137",2020-08-15,"Veneto",2096,1
"138",2020-08-16,"Veneto",2096,0
"139",2020-08-17,"Veneto",2096,0
"140",2020-08-18,"Veneto",2098,2
"141",2020-08-19,"Veneto",2099,1
"142",2020-08-20,"Veneto",2100,1
"143",2020-08-21,"Veneto",2102,2
"144",2020-08-22,"Veneto",2104,2
"145",2020-08-23,"Veneto",2104,0
"146",2020-08-24,"Veneto",2104,0
"147",2020-08-25,"Veneto",2107,3
"148",2020-08-26,"Veneto",2116,9
"149",2020-08-27,"Veneto",2117,1
"150",2020-08-28,"Veneto",2119,2
"151",2020-08-29,"Veneto",2120,1
"152",2020-08-30,"Veneto",2120,0
"153",2020-08-31,"Veneto",2120,0
"154",2020-09-01,"Veneto",2122,2
"155",2020-09-02,"Veneto",2123,1
"156",2020-09-03,"Veneto",2123,0
"157",2020-09-04,"Veneto",2126,3
"158",2020-09-05,"Veneto",2130,4
"159",2020-09-06,"Veneto",2130,0
"160",2020-09-07,"Veneto",2130,0
"161",2020-09-08,"Veneto",2132,2
"162",2020-09-09,"Veneto",2135,3
"163",2020-09-10,"Veneto",2135,0
"164",2020-09-11,"Veneto",2138,3
"165",2020-09-12,"Veneto",2141,3
"166",2020-09-13,"Veneto",2142,1
"167",2020-09-14,"Veneto",2144,2
"168",2020-09-15,"Veneto",2146,2
"169",2020-09-16,"Veneto",2151,5
"170",2020-09-17,"Veneto",2151,0
"171",2020-09-18,"Veneto",2153,2
"172",2020-09-19,"Veneto",2158,5
"173",2020-09-20,"Veneto",2162,4
"174",2020-09-21,"Veneto",2162,0
"175",2020-09-22,"Veneto",2165,3
"176",2020-09-23,"Veneto",2167,2
"177",2020-09-24,"Veneto",2169,2
"178",2020-09-25,"Veneto",2173,4
"179",2020-09-26,"Veneto",2174,1
"180",2020-09-27,"Veneto",2176,2
"181",2020-09-28,"Veneto",2176,0
"182",2020-09-29,"Veneto",2177,1
"183",2020-09-30,"Veneto",2178,1
"184",2020-10-01,"Veneto",2183,5
"185",2020-10-02,"Veneto",2189,6
"186",2020-10-03,"Veneto",2193,4
"187",2020-10-04,"Veneto",2194,1
"188",2020-10-05,"Veneto",2194,0
"189",2020-10-06,"Veneto",2198,4
"190",2020-10-07,"Veneto",2200,2
"191",2020-10-08,"Veneto",2206,6
"192",2020-10-09,"Veneto",2209,3
"193",2020-10-10,"Veneto",2216,7
"194",2020-10-11,"Veneto",2218,2
"195",2020-10-12,"Veneto",2219,1
"196",2020-10-13,"Veneto",2226,7
"197",2020-10-14,"Veneto",2226,0
"198",2020-10-15,"Veneto",2237,11
"199",2020-10-16,"Veneto",2244,7
"200",2020-10-17,"Veneto",2247,3
"201",2020-10-18,"Veneto",2256,9
"202",2020-10-19,"Veneto",2255,-1
"203",2020-10-20,"Veneto",2268,13
"204",2020-10-21,"Veneto",2282,14
"205",2020-10-22,"Veneto",2301,19
"206",2020-10-23,"Veneto",2308,7
"207",2020-10-24,"Veneto",2317,9
"208",2020-10-25,"Veneto",2329,12
"209",2020-10-26,"Veneto",2332,3
"210",2020-10-27,"Veneto",2344,12
"211",2020-10-28,"Veneto",2355,11
"212",2020-10-29,"Veneto",2371,16
"213",2020-10-30,"Veneto",2388,17
"214",2020-10-31,"Veneto",2401,13
"215",2020-11-01,"Veneto",2418,17
"216",2020-11-02,"Veneto",2427,9
"217",2020-11-03,"Veneto",2458,31
"218",2020-11-04,"Veneto",2478,20
"219",2020-11-05,"Veneto",2516,38
"220",2020-11-06,"Veneto",2543,27
"221",2020-11-07,"Veneto",2568,25
"222",2020-11-08,"Veneto",2574,6
"223",2020-11-09,"Veneto",2595,21
"224",2020-11-10,"Veneto",2643,48
"225",2020-11-11,"Veneto",2689,46
"226",2020-11-12,"Veneto",2727,38
"227",2020-11-13,"Veneto",2764,37
"228",2020-11-14,"Veneto",2816,52
"229",2020-11-15,"Veneto",2845,29
"230",2020-11-16,"Veneto",2867,22
"231",2020-11-17,"Veneto",2967,100
"232",2020-11-18,"Veneto",3019,52
"233",2020-11-19,"Veneto",3057,38
"234",2020-11-20,"Veneto",3123,66
"235",2020-11-21,"Veneto",3190,67
"236",2020-11-22,"Veneto",3221,31
"237",2020-11-23,"Veneto",3258,37
"238",2020-11-24,"Veneto",3353,95
"239",2020-11-25,"Veneto",3429,76
"240",2020-11-26,"Veneto",3501,72
"241",2020-11-27,"Veneto",3561,60
"242",2020-11-28,"Veneto",3644,83
"243",2020-11-29,"Veneto",3677,33
"244",2020-11-30,"Veneto",3711,34
"245",2020-12-01,"Veneto",3818,107
"246",2020-12-02,"Veneto",3887,69
"247",2020-12-03,"Veneto",3982,95
"248",2020-12-04,"Veneto",4065,83
"249",2020-12-05,"Veneto",4173,108
"250",2020-12-06,"Veneto",4210,37
"251",2020-12-07,"Veneto",4261,51
"252",2020-12-08,"Veneto",4374,113
"253",2020-12-09,"Veneto",4403,29
"254",2020-12-10,"Veneto",4551,148
"255",2020-12-11,"Veneto",4659,108
"256",2020-12-12,"Veneto",4769,110
"257",2020-12-13,"Veneto",4801,32
"258",2020-12-14,"Veneto",4827,26
"259",2020-12-15,"Veneto",4992,165
"260",2020-12-16,"Veneto",5069,77
"261",2020-12-17,"Veneto",5161,92
"262",2020-12-18,"Veneto",5268,107
"263",2020-12-19,"Veneto",5382,114
"264",2020-12-20,"Veneto",5434,52
"265",2020-12-21,"Veneto",5481,47
"266",2020-12-22,"Veneto",5631,150
"267",2020-12-23,"Veneto",5747,116
"268",2020-12-24,"Veneto",5859,112
"269",2020-12-25,"Veneto",5953,94
"270",2020-12-26,"Veneto",5986,33
"271",2020-12-27,"Veneto",6038,52
"272",2020-12-28,"Veneto",6107,69
"273",2020-12-29,"Veneto",6298,191
"274",2020-12-30,"Veneto",6410,112
"275",2020-12-31,"Veneto",6539,129
"276",2021-01-01,"Veneto",6629,90
"277",2021-01-02,"Veneto",6675,46
"278",2021-01-03,"Veneto",6763,88
"279",2021-01-04,"Veneto",6813,50
"280",2021-01-05,"Veneto",6988,175
"281",2021-01-06,"Veneto",7114,126
"282",2021-01-07,"Veneto",7157,43
"283",2021-01-08,"Veneto",7263,106
"284",2021-01-09,"Veneto",7345,82
"285",2021-01-10,"Veneto",7389,44
"286",2021-01-11,"Veneto",7427,38
"287",2021-01-12,"Veneto",7593,166
"288",2021-01-13,"Veneto",7684,91
"289",2021-01-14,"Veneto",7785,101
"290",2021-01-15,"Veneto",7859,74
"291",2021-01-16,"Veneto",7932,73
"292",2021-01-17,"Veneto",7978,46
"293",2021-01-18,"Veneto",8025,47
"294",2021-01-19,"Veneto",8187,162
"295",2021-01-20,"Veneto",8256,69
"296",2021-01-21,"Veneto",8364,108
"297",2021-01-22,"Veneto",8439,75
"298",2021-01-23,"Veneto",8531,92
"299",2021-01-24,"Veneto",8559,28
"300",2021-01-25,"Veneto",8602,43
"301",2021-01-26,"Veneto",8695,93
"302",2021-01-27,"Veneto",8757,62
"303",2021-01-28,"Veneto",8809,52
"304",2021-01-29,"Veneto",8862,53
"305",2021-01-30,"Veneto",8922,60
"306",2021-01-31,"Veneto",8931,9
"307",2021-02-01,"Veneto",8970,39
"308",2021-02-02,"Veneto",9046,76
"309",2021-02-03,"Veneto",9103,57
"310",2021-02-04,"Veneto",9165,62
"311",2021-02-05,"Veneto",9190,25
"312",2021-02-06,"Veneto",9253,63
"313",2021-02-07,"Veneto",9281,28
"314",2021-02-08,"Veneto",9299,18
"315",2021-02-09,"Veneto",9364,65
"316",2021-02-10,"Veneto",9395,31
"317",2021-02-11,"Veneto",9426,31
"318",2021-02-12,"Veneto",9460,34
"319",2021-02-13,"Veneto",9489,29
"320",2021-02-14,"Veneto",9498,9
"321",2021-02-15,"Veneto",9509,11
"322",2021-02-16,"Veneto",9551,42
"323",2021-02-17,"Veneto",9621,70
"324",2021-02-18,"Veneto",9651,30
"325",2021-02-19,"Veneto",9683,32
"326",2021-02-20,"Veneto",9701,18
"327",2021-02-21,"Veneto",9712,11
"328",2021-02-22,"Veneto",9721,9
"329",2021-02-23,"Veneto",9742,21
"330",2021-02-24,"Veneto",9763,21
"331",2021-02-25,"Veneto",9791,28
"332",2021-02-26,"Veneto",9814,23
"333",2021-02-27,"Veneto",9837,23
"334",2021-02-28,"Veneto",9847,10
"335",2021-03-01,"Veneto",9852,5
"336",2021-03-02,"Veneto",9874,22
"337",2021-03-03,"Veneto",9891,17
"338",2021-03-04,"Veneto",9911,20
"339",2021-03-05,"Veneto",9936,25
"340",2021-03-06,"Veneto",9953,17
"341",2021-03-07,"Veneto",9968,15
"342",2021-03-08,"Veneto",9980,12
"343",2021-03-09,"Veneto",10009,29
"344",2021-03-10,"Veneto",10023,14
"345",2021-03-11,"Veneto",10045,22
"346",2021-03-12,"Veneto",10074,29
"347",2021-03-13,"Veneto",10098,24
"348",2021-03-14,"Veneto",10106,8
"349",2021-03-15,"Veneto",10116,10
"350",2021-03-16,"Veneto",10200,84
"351",2021-03-17,"Veneto",10259,59
"352",2021-03-18,"Veneto",10295,36
"353",2021-03-19,"Veneto",10318,23
"354",2021-03-20,"Veneto",10338,20
"355",2021-03-21,"Veneto",10348,10
"356",2021-03-22,"Veneto",10362,14
"357",2021-03-23,"Veneto",10414,52
"358",2021-03-24,"Veneto",10442,28
"359",2021-03-25,"Veneto",10467,25
"360",2021-03-26,"Veneto",10500,33
"361",2021-03-27,"Veneto",10517,17
"362",2021-03-28,"Veneto",10528,11
"363",2021-03-29,"Veneto",10538,10
"364",2021-03-30,"Veneto",10590,52
"365",2021-03-31,"Veneto",10625,35
"366",2021-04-01,"Veneto",10653,28
"367",2021-04-02,"Veneto",10682,29
"368",2021-04-03,"Veneto",10714,32
"369",2021-04-04,"Veneto",10738,24
"370",2021-04-05,"Veneto",10755,17
"371",2021-04-06,"Veneto",10770,15
"372",2021-04-07,"Veneto",10837,67
"373",2021-04-08,"Veneto",10861,24
"374",2021-04-09,"Veneto",10899,38
"375",2021-04-10,"Veneto",10913,14
"376",2021-04-11,"Veneto",10941,28
"377",2021-04-12,"Veneto",10952,11
"378",2021-04-13,"Veneto",10994,42
"379",2021-04-14,"Veneto",11018,24
"380",2021-04-15,"Veneto",11041,23
"381",2021-04-16,"Veneto",11064,23
"382",2021-04-17,"Veneto",11088,24
"383",2021-04-18,"Veneto",11104,16
"384",2021-04-19,"Veneto",11111,7
"385",2021-04-20,"Veneto",11139,28
"386",2021-04-21,"Veneto",11159,20
"387",2021-04-22,"Veneto",11183,24
"388",2021-04-23,"Veneto",11203,20
"389",2021-04-24,"Veneto",11226,23
"390",2021-04-25,"Veneto",11235,9
"391",2021-04-26,"Veneto",11245,10
"392",2021-04-27,"Veneto",11281,36
"393",2021-04-28,"Veneto",11299,18
"394",2021-04-29,"Veneto",11316,17
"395",2021-04-30,"Veneto",11330,14
"396",2021-05-01,"Veneto",11350,20
"397",2021-05-02,"Veneto",11365,15
"398",2021-05-03,"Veneto",11369,4
"399",2021-05-04,"Veneto",11385,16
"400",2021-05-05,"Veneto",11397,12
"401",2021-05-06,"Veneto",11404,7
"402",2021-05-07,"Veneto",11414,10
"403",2021-05-08,"Veneto",11420,6
"404",2021-05-09,"Veneto",11423,3
"405",2021-05-10,"Veneto",11425,2
"406",2021-05-11,"Veneto",11442,17
"407",2021-05-12,"Veneto",11460,18
"408",2021-05-13,"Veneto",11469,9
"409",2021-05-14,"Veneto",11475,6
"410",2021-05-15,"Veneto",11483,8
"411",2021-05-16,"Veneto",11485,2
"412",2021-05-17,"Veneto",11487,2
"413",2021-05-18,"Veneto",11499,12
"414",2021-05-19,"Veneto",11507,8
"415",2021-05-20,"Veneto",11515,8
"416",2021-05-21,"Veneto",11521,6
"417",2021-05-22,"Veneto",11525,4
"418",2021-05-23,"Veneto",11528,3
"419",2021-05-24,"Veneto",11530,2
"420",2021-05-25,"Veneto",11532,2
"421",2021-05-26,"Veneto",11540,8
"422",2021-05-27,"Veneto",11546,6
"423",2021-05-28,"Veneto",11551,5
"424",2021-05-29,"Veneto",11558,7
"425",2021-05-30,"Veneto",11559,1
"426",2021-05-31,"Veneto",11560,1
