,Concordance,Date,Mut,Freq,TotSeq,Perc,Country,new_reported_cases,molecular_swabs,antigenic_swabs,ratio_molecular_antigenic,assumed_ratio_molecular_antigenic,new_reported_cases_daily,Freq_new,TotSeq_new,new_reported_cases_daily_new
1,no,01/04/2020,M234I-A376T,0,300,0,Italy,NA,NA,NA,1,1,NA,0,251,3028.866667
2,no,01/05/2020,M234I-A376T,0,74,0,Italy,27556,0,0,1,1,888.9032258,0,72,850.4516129
3,no,01/06/2020,M234I-A376T,0,145,0,Italy,7584,0,0,1,1,252.8,0,141,248.3333333
4,no,01/07/2020,M234I-A376T,0,66,0,Italy,7006,0,0,1,1,226,0,66,199.0967742
5,no,01/08/2020,M234I-A376T,0,90,0,Italy,21702,0,0,1,1,700.0645161,0,73,609.4516129
6,no,01/09/2020,M234I-A376T,3,215,0.013953488,Italy,45623,0,0,1,1,1520.766667,3,215,1370.033333
7,no,01/10/2020,M234I-A376T,37,453,0.081677704,Italy,364607,0,0,1,1,11761.51613,37,451,10809.83871
8,no,01/11/2020,M234I-A376T,24,279,0.086021505,Italy,922206,0,0,1,0.855,30740.2,15,224,27785.56667
9,no,01/12/2020,M234I-A376T,56,1027,0.054527751,Italy,508914,0,0,1,0.71,16416.58065,39,940,12923.58065
10,no,01/01/2021,M234I-A376T,20,1318,0.015174507,Italy,445585,2223008,1709508,0.565288991,0.565288991,14373.70968,16,1278,12492.74194
11,no,01/02/2021,M234I-A376T,89,3115,0.028571429,Italy,372503,3993344,3472817,0.53485908,0.53485908,13303.67857,84,3024,12537.17857
12,no,01/03/2021,M234I-A376T,61,5877,0.010379445,Italy,648200,5450845,4318765,0.557938853,0.557938853,20909.67742,59,5634,19322.87097
13,no,01/04/2021,M234I-A376T,5,5410,0.000924214,Italy,439446,4875553,3801702,0.561877345,0.561877345,14648.2,5,5113,13679.5
14,no,01/05/2021,M234I-A376T,0,2906,0,Italy,195273,4109367,3483136,0.541240089,0.541240089,6299.129032,0,2757,5930.483871
