"","Date","cum_deaths","deaths"
"1",2020-04-01,12656,12656
"2",2020-04-02,13383,727
"3",2020-04-03,14109,726
"4",2020-04-04,14755,646
"5",2020-04-05,15256,501
"6",2020-04-06,15861,605
"7",2020-04-07,16432,571
"8",2020-04-08,16933,501
"9",2020-04-09,17523,590
"10",2020-04-10,18056,533
"11",2020-04-11,18637,581
"12",2020-04-12,19043,406
"13",2020-04-13,19583,540
"14",2020-04-14,20161,578
"15",2020-04-15,20705,544
"16",2020-04-16,21189,484
"17",2020-04-17,21719,530
"18",2020-04-18,22168,449
"19",2020-04-19,22573,405
"20",2020-04-20,23002,429
"21",2020-04-21,23494,492
"22",2020-04-22,23904,410
"23",2020-04-23,24343,439
"24",2020-04-24,24725,382
"25",2020-04-25,25096,371
"26",2020-04-26,25329,233
"27",2020-04-27,25633,304
"28",2020-04-28,25951,318
"29",2020-04-29,26245,294
"30",2020-04-30,26508,263
"31",2020-05-01,26757,249
"32",2020-05-02,27208,451
"33",2020-05-03,27368,160
"34",2020-05-04,27551,183
"35",2020-05-05,27770,219
"36",2020-05-06,28116,346
"37",2020-05-07,28369,253
"38",2020-05-08,28574,205
"39",2020-05-09,28752,178
"40",2020-05-10,28903,151
"41",2020-05-11,29073,170
"42",2020-05-12,29225,152
"43",2020-05-13,29394,169
"44",2020-05-14,29625,231
"45",2020-05-15,29848,223
"46",2020-05-16,29980,132
"47",2020-05-17,30114,134
"48",2020-05-18,30204,90
"49",2020-05-19,30349,145
"50",2020-05-20,30498,149
"51",2020-05-21,30645,147
"52",2020-05-22,30762,117
"53",2020-05-23,30870,108
"54",2020-05-24,30916,46
"55",2020-05-25,30999,83
"56",2020-05-26,31069,70
"57",2020-05-27,31177,108
"58",2020-05-28,31244,67
"59",2020-05-29,31323,79
"60",2020-05-30,31424,101
"61",2020-05-31,31497,73
"62",2020-06-01,31557,60
"63",2020-06-02,31609,52
"64",2020-06-03,31680,71
"65",2020-06-04,31755,75
"66",2020-06-05,31836,81
"67",2020-06-06,31897,61
"68",2020-06-07,31945,48
"69",2020-06-08,32009,64
"70",2020-06-09,32082,73
"71",2020-06-10,32153,71
"72",2020-06-11,32203,50
"73",2020-06-12,32256,53
"74",2020-06-13,32324,68
"75",2020-06-14,32367,43
"76",2020-06-15,32393,26
"77",2020-06-16,32423,30
"78",2020-06-17,32461,38
"79",2020-06-18,32520,59
"80",2020-06-19,32563,43
"81",2020-06-20,32608,45
"82",2020-06-21,32632,24
"83",2020-06-22,32654,22
"84",2020-06-23,32671,17
"85",2020-06-24,32640,-31
"86",2020-06-25,32672,32
"87",2020-06-26,32701,29
"88",2020-06-27,32709,8
"89",2020-06-28,32730,21
"90",2020-06-29,32736,6
"91",2020-06-30,32755,19
"92",2020-07-01,32766,11
"93",2020-07-02,32796,30
"94",2020-07-03,32810,14
"95",2020-07-04,32831,21
"96",2020-07-05,32838,7
"97",2020-07-06,32845,7
"98",2020-07-07,32865,20
"99",2020-07-08,32880,15
"100",2020-07-09,32889,9
"101",2020-07-10,32899,10
"102",2020-07-11,32906,7
"103",2020-07-12,32915,9
"104",2020-07-13,32928,13
"105",2020-07-14,32943,15
"106",2020-07-15,32954,11
"107",2020-07-16,32970,16
"108",2020-07-17,32981,11
"109",2020-07-18,32993,12
"110",2020-07-19,32995,2
"111",2020-07-20,33008,13
"112",2020-07-21,33020,12
"113",2020-07-22,33025,5
"114",2020-07-23,33030,5
"115",2020-07-24,33034,4
"116",2020-07-25,33038,4
"117",2020-07-26,33043,5
"118",2020-07-27,33048,5
"119",2020-07-28,33054,6
"120",2020-07-29,33056,2
"121",2020-07-30,33059,3
"122",2020-07-31,33067,8
"123",2020-08-01,33071,4
"124",2020-08-02,33079,8
"125",2020-08-03,33090,11
"126",2020-08-04,33094,4
"127",2020-08-05,33104,10
"128",2020-08-06,33110,6
